"period_end_date","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"cfi_ppe_net","","-153","-132","-136","-185","-453","-413","-171","-198","-327","-268","-284","-483","-363","-469","-482","-517","-502","-549","-780","-692","-1132","-995","-1095","-1269","-1271","-1444","-1755","-2263","-2812","-3460","-3342","-4301","-3837","-3633","-3532","-4100","-3558","-3255","-3689","-4613","-4272","-4612","-4314","-5277","-5315","-7528","-9355"
"cfi_acquisitions_net","","-1","-3","-1","-19","-25","-550","-336","","-99","-122","-16","-131","","-19","-735","-4221","-257","-25","-27","-4","-1","-19","-61","-42","","-8","-98","-16","","","","","-50","-3","-71","-445","","","","","","-259","-71","-568","-853","-363","-34"
"cfi_investment_net","","","-1893","-851","-284","-241","-5485","117","735","94","-105","1034","-1905","-1508","68","4326","-1643","-2108","-11","-2526","-2055","-576","-3998","-1969","-643","-4631","-4010","-1892","-2717","1575","1092","-830","637","-2881","-313","-1508","509","-476","-338","-6875","-470","-600","-3264","4199","11844","1399","939","-328"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","1","-4","193","445","-1","-2","1","-2","6","-3","","-15","-1","-2","-112","-235","23","21","33","25","33","41","8","-74","-18","-4","16","-7","-50","-16","-75","-21","","-61","61","","-75","-585","-6035","-90","-2","-60","-144","-170","-10","-7","16"
"cf_cfi","","-153","-2032","-795","-43","-720","-6450","-389","535","-326","-498","734","-2534","-1872","-422","2997","-6616","-2844","-564","-3300","-2726","-1676","-4971","-3117","-2028","-5920","-5466","-3729","-5003","-1287","-2384","-4247","-3685","-6768","-4010","-5050","-4036","-4109","-4178","-16599","-5173","-4874","-8195","-330","5829","-4779","-6959","-9701"
"cff_common_stock_net","","998","","","","","","","","","","","","","","","","","","","","","","","","-228","-150","-640","-958","-1774","-3349","-4256","-3500","-613","-1145","-1148","-1296","-1250","-1368","-1725","-1929","-3939","-7079","-13458","-20061","-9506","-5233","-6354"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","-279","-53","-46","117","-9","-52","35","1361","-109","-91","-1591","-100","-84","-66","-49","-44","-47","-37","-23","-12","-312","","","","","","","","","","","500","-302","-84","-285","-104","-180","-46","-196","-158","-201","-70","-219","-173","-213","-298","9567"
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","","79","308","60","14","59","7092","472","-2675","-335","-58","-8","1625","346","536","487","-1424","418","379","338","-1155","2","4","-8","4","-764","-719","-891","-885","-829","-922","-901","-541","-508","-602","-586","-626","-592","-738","-990","-1120","-1045","-1400","-1575","-1508","-941","-1032","-1066"
"cf_cff","","798","255","14","131","50","7040","507","-1314","-444","-149","-1599","1525","262","470","438","-1468","371","342","315","-1167","-310","4","-8","4","-992","-869","-1531","-1843","-2603","-4271","-5157","-3541","-1423","-1831","-2019","-2026","-2022","-2152","-2911","-3207","-5185","-8549","-15252","-21742","-10660","-6563","2147"
"ebitda","","439","479","511","650","491","-604","553","747","606","792","1010","1406","1339","1647","1686","1566","1390","1732","1945","3103","2562","3319","3708","5181","3998","5130","5894","8205","6398","6897","6888","9045","4672","6128","8601","10326","7490","7667","9738","14638","13350","14353","12418","14599","10680","10337","7839"
"capex","","-153","-132","-136","-185","-453","-413","-171","-198","-327","-268","-284","-483","-363","-469","-482","-517","-502","-549","-780","-692","-1132","-995","-1095","-1269","-1271","-1444","-1755","-2263","-2812","-3460","-3342","-4301","-3837","-3633","-3532","-4100","-3558","-3255","-3689","-4613","-4272","-4612","-4314","-5277","-5315","-7528","-9355"
"fcf","","192","-3","429","325","-12","-173","79","483","392","1054","666","748","922","872","766","2935","1198","1331","1412","3856","2345","2670","2941","3661","3787","3916","4372","5408","5048","2838","4156","3317","5471","4983","5775","4983","7443","622","6140","9427","7970","8635","9776","12827","8761","4668","337"
"book_value","1547","","","","4284","5597","13309","14174","11755","11824","12349","13048","15470","16737","18346","21238","36096","37501","39452","41420","44218","47150","50383","54115","59194","62188","66481","71208","74347","77620","79382","80342","84127","86516","88762","93999","101054","105304","110447","117731","128290","133657","138227","133360","124879","123228","125767","124094"
"tangible_book_value","1451","","","","4122","5408","12500","12751","10367","10323","10718","11439","13748","15055","16674","17309","14186","15722","17822","19959","22946","26054","29461","33328","38537","41702","46166","50945","54242","57617","59546","60587","64532","67033","69434","74808","81445","85655","90559","97956","108617","114096","118494","113930","105048","102395","104573","102951"
"roa","","0.62","","","0.32","0.14","0.05","0.02","","","0.04","0.07000000000000001","0.09","0.1","0.12","0.12","0.09","0.07000000000000001","0.06","0.06","0.08","0.1","0.12","0.14","0.16","0.17","0.18","0.2","0.19","0.21","0.21","0.21","0.23","0.19","0.15","0.15","0.14","0.15","0.17","0.18","0.19","0.21","0.23","0.24","0.23","0.23","0.2","0.17"
"roe","","0.86","","","0.41","0.19","0.06","0.02","","0.01","0.05","0.08","0.11","0.12","0.14","0.14","0.1","0.08","0.07000000000000001","0.07000000000000001","0.09","0.11","0.13","0.16","0.18","0.19","0.2","0.22","0.22","0.24","0.24","0.24","0.27","0.23","0.19","0.2","0.19","0.2","0.22","0.22","0.24","0.26","0.29","0.3","0.3","0.3","0.27","0.23"
"roic","","0.74","","","0.38","0.17","0.06","0.02","","","0.04","0.08","0.1","0.12","0.13","0.14","0.1","0.08","0.07000000000000001","0.07000000000000001","0.09","0.11","0.13","0.16","0.18","0.19","0.2","0.22","0.22","0.24","0.24","0.24","0.27","0.22","0.18","0.18","0.17","0.19","0.2","0.2","0.22","0.24","0.27","0.27","0.28","0.27","0.24","0.2"
"roce","","1.19","","","0.65","0.3","0.06","0.04","0.04","0.04","0.13","0.15","0.18","0.2","0.23","0.23","0.16","0.12","0.11","0.11","0.13","0.15","0.17","0.19","0.21","0.21","0.23","0.24","0.26","0.27","0.28","0.28","0.28","0.24","0.21","0.21","0.21","0.22","0.22","0.22","0.23","0.26","0.29","0.31","0.32","0.3","0.27","0.23"
"rotce","","1.24","","","0.67","0.31","0.06","0.04","0.04","0.04","0.14","0.17","0.2","0.22","0.25","0.27","0.28","0.28","0.24","0.22","0.25","0.26","0.28","0.3","0.32","0.32","0.32","0.33","0.35","0.36","0.37","0.37","0.36","0.3","0.26","0.26","0.25","0.26","0.26","0.26","0.27","0.3","0.33","0.35","0.36","0.35","0.32","0.27"
"gross_margin","","0.77","0.77","0.75","0.78","0.74","0.6899999999999999","0.74","0.75","0.72","0.74","0.75","0.8100000000000001","0.82","0.84","0.82","0.83","0.82","0.83","0.84","0.86","0.84","0.86","0.86","0.88","0.86","0.87","0.86","0.88","0.84","0.83","0.82","0.83","0.8100000000000001","0.8","0.82","0.83","0.8","0.8","0.8","0.8100000000000001","0.8","0.8100000000000001","0.8","0.8100000000000001","0.78","0.82","0.79"
"ebitda_margin","","0.6","0.54","0.54","0.57","0.46","-0.51","0.44","0.47","0.42","0.44","0.5","0.54","0.54","0.57","0.53","0.41","0.39","0.43","0.43","0.53","0.48","0.52","0.53","0.59","0.5","0.55","0.57","0.63","0.53","0.52","0.5","0.53","0.31","0.36","0.49","0.49","0.42","0.41","0.45","0.52","0.51","0.49","0.43","0.43","0.38","0.36","0.28"
"operating_margin","","0.53","0.45","0.43","0.48","0.36","-0.63","0.3","0.33","0.26","0.31","0.37","0.44","0.43","0.48","0.44","0.29","0.26","0.31","0.32","0.44","0.37","0.42","0.44","0.52","0.41","0.47","0.5","0.57","0.46","0.44","0.42","0.46","0.22","0.27","0.41","0.42","0.33","0.32","0.37","0.46","0.43","0.43","0.36","0.37","0.31","0.29","0.2"
"pretax_margin","","0.54","0.45","0.4","0.46","0.36","-0.65","0.29","0.32","0.24","0.3","0.36","0.44","0.43","0.48","0.42","0.29","0.26","0.31","0.32","0.44","0.38","0.43","0.45","0.51","0.42","0.48","0.51","0.58","0.47","0.44","0.43","0.47","0.23","0.29","0.42","0.43","0.33","0.33","0.38","0.47","0.44","0.43","0.36","0.38","0.32","0.28","0.2"
"net_income_margin","","0.32","0.27","0.24","0.27","0.19","-0.13","-0.05","0.04","0.15","0.18","0.21","0.2","0.26","0.27","0.25","0.18","0.14","0.18","0.2","0.27","0.32","0.35","0.37","0.41","0.38","0.42","0.46","0.33","0.42","0.39","0.37","0.41","0.16","0.15","0.35","0.35","0.28","0.28","0.37","0.4","0.36","0.36","0.32","0.31","0.27","0.23","0.16"
"fcf_margin","","0.26","","0.45","0.29","-0.01","-0.15","0.06","0.3","0.27","0.58","0.33","0.29","0.37","0.3","0.24","0.76","0.34","0.33","0.31","0.66","0.44","0.41","0.42","0.42","0.47","0.42","0.42","0.42","0.42","0.21","0.3","0.2","0.36","0.3","0.33","0.24","0.42","0.03","0.29","0.34","0.3","0.3","0.34","0.38","0.31","0.16","0.01"
"assets_to_equity","1.38","","","","1.29","1.28","1.12","1.13","1.28","1.28","1.27","1.14","1.16","1.14","1.13","1.14","1.11","1.12","1.12","1.12","1.12","1.1","1.11","1.1","1.1","1.1","1.11","1.11","1.14","1.15","1.14","1.15","1.16","1.27","1.32","1.32","1.32","1.31","1.26","1.24","1.24","1.22","1.23","1.27","1.33","1.33","1.35","1.44"
"equity_to_assets","0.72","","","","0.77","0.78","0.89","0.88","0.78","0.78","0.79","0.87","0.86","0.88","0.88","0.88","0.9","0.89","0.89","0.89","0.89","0.91","0.9","0.91","0.91","0.91","0.9","0.9","0.88","0.87","0.88","0.87","0.86","0.79","0.76","0.76","0.76","0.76","0.79","0.8","0.8100000000000001","0.82","0.8100000000000001","0.79","0.75","0.75","0.74","0.6899999999999999"
"debt_to_equity","0.17","","","","0.08","0.07000000000000001","0.03","0.04","0.17","0.16","0.15","0.02","0.02","0.01","0.01","0.01","","","","","0.01","","","","","","","","","","","","0.01","0.08","0.08","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.09","0.1","0.1","0.12","0.2"
"debt_to_assets","0.12","","","","0.06","0.06","0.03","0.03","0.13","0.13","0.12","0.02","0.01","0.01","0.01","0.01","","","","","0.01","","","","","","","","","","","","0.01","0.06","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.06","0.06","0.07000000000000001","0.08","0.08","0.09","0.14"
"revenue_per_share","","0.29","0.35","0.37","0.44","0.49","0.63","0.52","0.53","0.58","0.72","0.8","1.01","0.96","1.11","1.21","1.37","1.25","1.42","1.57","2.04","1.85","2.2","2.39","2.99","2.73","3.16","3.49","4.38","4.06","4.52","4.71","5.85","5.26","5.87","6.14","7.32","6.18","6.49","7.43","9.67","9.08","10.11","10.15","11.99","10.18","10.62","10.31"
"ebitda_per_share","","0.17","0.19","0.2","0.25","0.23","-0.32","0.23","0.25","0.24","0.32","0.4","0.55","0.51","0.63","0.64","0.5600000000000001","0.49","0.61","0.68","1.08","0.88","1.14","1.27","1.76","1.36","1.74","1.99","2.77","2.17","2.35","2.36","3.13","1.63","2.13","2.99","3.59","2.61","2.66","3.37","5.04","4.63","4.99","4.34","5.2","3.89","3.81","2.92"
"operating_income_per_share","","0.15","0.16","0.16","0.21","0.18","-0.4","0.16","0.17","0.15","0.22","0.29","0.44","0.41","0.53","0.53","0.4","0.33","0.45","0.51","0.89","0.6899999999999999","0.9399999999999999","1.06","1.55","1.13","1.49","1.73","2.48","1.85","2","1.98","2.7","1.16","1.61","2.5","3.08","2.05","2.07","2.78","4.4","3.95","4.3","3.65","4.48","3.11","3.08","2.11"
"pretax_income_per_share","","0.16","0.16","0.15","0.2","0.18","-0.41","0.15","0.17","0.14","0.22","0.29","0.44","0.41","0.53","0.51","0.4","0.33","0.45","0.5","0.89","0.71","0.9399999999999999","1.08","1.54","1.16","1.52","1.77","2.52","1.9","2","2.03","2.76","1.21","1.68","2.55","3.18","2.04","2.13","2.81","4.5","3.99","4.35","3.7","4.52","3.25","3.02","2.08"
"fcf_per_share","","0.08","","0.17","0.13","-0.01","-0.09","0.03","0.16","0.16","0.42","0.26","0.29","0.35","0.33","0.29","1.05","0.42","0.47","0.49","1.34","0.8100000000000001","0.91","1","1.24","1.29","1.33","1.48","1.83","1.71","0.97","1.43","1.15","1.91","1.73","2.01","1.73","2.6","0.22","2.12","3.25","2.77","3","3.42","4.57","3.2","1.72","0.13"
"book_value_per_share","0.61","","","","1.68","2.62","7.08","5.86","3.9","4.73","4.94","5.16","6.05","6.42","7.02","8.029999999999999","12.85","13.22","13.84","14.47","15.42","16.23","17.25","18.46","20.09","21.12","22.53","24.09","25.1","26.36","27.09","27.58","29.1","30.16","30.87","32.71","35.1","36.72","38.36","40.72","44.19","46.38","48.05","46.65","44.47","44.94","46.36","46.18"
"tangible_book_per_share","0.58","","","","1.61","2.53","6.65","5.27","3.44","4.13","4.28","4.52","5.38","5.77","6.38","6.55","5.05","5.54","6.25","6.97","8","8.970000000000001","10.09","11.37","13.08","14.17","15.64","17.23","18.31","19.56","20.32","20.8","22.32","23.36","24.15","26.03","28.29","29.87","31.46","33.88","37.42","39.59","41.19","39.85","37.41","37.34","38.55","38.31"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","","0.22","0.07000000000000001","","0.45","0.32","0.32","0.4","0.38","0.53","0.6","0.63","0.72","0.61","0.59","0.49","0.42","0.39","0.41","0.52","0.52","0.59","0.5600000000000001","0.51","0.49","0.45","0.47","0.47","0.49","0.42","0.33","0.3","0.26","0.28","0.29","0.25","0.18","0.11","0.22","0.33","0.48","0.5600000000000001","0.35","0.2","0.07000000000000001","-0.01","-0.04"
"gross_profit_growth","","","0.21","0.05","","0.38","0.19","0.31","0.34","0.34","0.65","0.61","0.76","0.95","0.8100000000000001","0.75","0.53","0.42","0.38","0.43","0.57","0.57","0.64","0.59","0.55","0.51","0.46","0.47","0.46","0.46","0.36","0.27","0.24","0.22","0.23","0.28","0.25","0.16","0.09","0.19","0.3","0.47","0.59","0.35","0.2","0.04","","-0.05"
"ebitda_growth","","","0.09","0.07000000000000001","","0.12","-2.26","0.08","0.15","0.23","2.31","0.83","0.88","1.21","1.08","0.67","0.11","0.04","0.05","0.15","0.98","0.84","0.92","0.91","0.67","0.5600000000000001","0.55","0.59","0.58","0.6","0.34","0.17","0.1","-0.27","-0.11","0.25","0.14","0.6","0.25","0.13","0.42","0.78","0.87","0.28","","-0.2","-0.28","-0.37"
"operating_income_growth","","","0.05","0.02","","-0.02","-2.83","-0.09","-0.04","-0.02","1.76","0.95","1.16","1.88","1.47","0.9","","-0.13","-0.08","0.04","1.26","1.15","1.15","1.14","0.78","0.66","0.61","0.64","0.61","0.64","0.33","0.13","0.06","-0.39","-0.21","0.24","0.13","0.78","0.29","0.12","0.44","0.93","1.07","0.3","-0.01","-0.25","-0.32","-0.46"
"pretax_income_growth","","","","-0.05","","-0.04","-2.92","-0.02","-0.03","-0.08","1.71","0.95","1.24","2.05","1.54","0.84","-0.01","-0.13","-0.08","0.07000000000000001","1.3","1.22","1.16","1.21","0.77","0.65","0.63","0.65","0.65","0.65","0.31","0.13","0.07000000000000001","-0.38","-0.18","0.24","0.15","0.68","0.27","0.11","0.42","0.96","1.04","0.3","-0.03","-0.23","-0.35","-0.47"
"net_income_growth","","","0.03","-0.05","","-0.12","-1.65","-1.26","-0.79","0.07000000000000001","3.12","8.199999999999999","7.17","1.93","1.38","0.9","0.34","-0.2","-0.09","0.11","1.23","2.39","2.18","1.93","1.29","0.76","0.71","0.79","0.2","0.63","0.31","0.09","0.61","-0.51","-0.49","0.19","0.07000000000000001","1.02","0.98","0.29","0.53","0.9399999999999999","1.01","0.17","-0.08","-0.21","-0.36","-0.52"
"eps_diluted_growth","","","0.03","-0.05","","0.07000000000000001","-2.29","-1.34","-0.79","0.41","2.63","9.5","5.67","1.78","1.31","0.76","0.25","-0.28","-0.17","0.03","1.16","2.33","2.12","1.9","1.24","0.73","0.6899999999999999","0.77","0.19","0.63","0.32","0.11","0.65","-0.5","-0.48","0.2","0.08","1.01","0.98","0.28","0.52","0.93","1.01","0.19","-0.05","-0.18","-0.32","-0.49"
"shares_diluted_growth","","0.02","","","0.02","-0.16","-0.26","-0.05","0.18","0.17","0.33","0.04","-0.15","0.04","0.05","0.05","0.1","0.09","0.09","0.08","0.02","0.02","0.02","0.02","0.03","0.01","0.01","0.01","0.01","","-0.01","-0.01","-0.02","-0.03","-0.02","-0.01","","","","0.01","0.01","","","-0.01","-0.03","-0.05","-0.06","-0.06"
"cash_and_equiv_growth","","-1","","","-0.15","","","","0.58","0.8100000000000001","0.43","0.25","0.39","0.29","0.46","1.9","0.3","0.14","0.17","-0.52","0.14","0.89","","0.4","0.8100000000000001","0.1","0.22","0.19","-0.09","0.7","0.85","0.34","0.24","-0.08","0.2","0.66","0.9","1.13","0.52","-0.27","-0.08","-0.17","-0.23","0.25","-0.06","-0.24","-0.22","-0.01"
"ppe_growth","","-1","","","1.57","","","","0.62","0.37","0.22","0.17","0.21","0.21","0.29","0.38","0.38","0.5","0.49","0.44","0.43","0.4","0.43","0.48","0.51","0.46","0.5","0.54","0.6","0.71","0.73","0.74","0.8","1.1","1.03","0.93","0.8100000000000001","0.36","0.3","0.27","0.23","0.25","0.27","0.25","0.27","0.27","0.33","0.35"
"total_assets_growth","","-1","","","1.12","","","","1.39","1.11","0.05","-0.07000000000000001","0.18","0.25","0.32","0.62","1.23","1.21","1.12","0.92","0.24","0.24","0.26","0.28","0.31","0.32","0.32","0.32","0.3","0.29","0.22","0.17","0.15","0.23","0.3","0.35","0.37","0.26","0.19","0.18","0.19","0.18","0.22","0.16","0.04","","","0.05"
"total_equity_growth","","-1","","","1.27","","","","1.4","1.11","-0.07000000000000001","-0.08","0.32","0.42","0.49","0.63","1.33","1.24","1.15","0.95","0.23","0.26","0.28","0.31","0.34","0.32","0.32","0.32","0.26","0.25","0.19","0.13","0.13","0.11","0.12","0.17","0.2","0.22","0.24","0.25","0.27","0.27","0.25","0.13","-0.03","-0.08","-0.09","-0.07000000000000001"
"cfo_growth","","","-0.63","3.38","","0.28","0.86","-0.5600000000000001","0.34","0.63","4.51","2.8","0.8100000000000001","0.79","0.01","0.31","1.8","0.32","0.4","0.76","0.32","1.05","0.95","0.84","0.08","0.45","0.46","0.52","0.5600000000000001","0.55","0.18","0.22","-0.01","0.18","0.37","0.24","0.19","0.18","-0.55","0.06","0.55","0.11","2.42","0.43","0.29","0.15","-0.08","-0.31"
"capex_growth","","","0.14","-0.03","","-1.96","-2.13","-0.26","-0.07000000000000001","0.28","0.35","-0.66","-1.44","-0.11","-0.75","-0.7","-0.07000000000000001","-0.38","-0.17","-0.62","-0.34","-1.25","-0.8100000000000001","-0.4","-0.83","-0.12","-0.45","-0.6","-0.78","-1.21","-1.4","-0.9","-0.9","-0.36","-0.05","-0.06","0.05","0.07000000000000001","0.1","-0.04","-0.13","-0.2","-0.42","-0.17","-0.14","-0.24","-0.63","-1.17"
"fcf_growth","","","-1.02","144","","-1.06","-56.67","-0.82","0.49","33.67","7.09","7.43","0.55","1.35","-0.17","0.15","2.92","0.3","0.53","0.84","0.31","0.96","1.01","1.08","-0.05","0.61","0.47","0.49","0.48","0.33","-0.28","-0.05","-0.39","0.08","0.76","0.39","0.5","0.36","-0.88","0.06","0.89","0.07000000000000001","12.88","0.59","0.36","0.1","-0.46","-0.97"
"shares_eop","2517","2556","2556","2556","2138.08","2138.08","2142","2166","2372","2411","2431","2453","2547","2564","2575","2608","2778","2806","2800","2814","2834","2850","2862","2877","2892","2893","2900","2906","2906","2902","2891","2873","2854","2856","2854","2854","2852","2851","2850","2850","2849","2841","2826","2793","2741","2714","2697","2687.55"
"dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","","","","","115.45","161.22","1191.37","920.5","108.59","118.36","92.8","80.31999999999999","72.77","74.63","73.72","82.09999999999999","87.70999999999999","89.45","80.42","66.18000000000001","50.49","44.95","32.57","35.6","33.29","32.19","32.18","25.97","29.46","24.23","16.92","24.35","32.28","28.21","31.67","22.69","27.51","29.53","26.7","24.8","25.22","23.52","23.42","16.16","12.93","12.65"
"price_to_book","","","","","","","5.01","3.31","5.37","5.22","4.9","9.44","9","9.23","9.44","9.710000000000001","6","6.15","6.09","6.11","6.71","6.9","6.49","6.82","5.62","6.61","6.59","6.89","6.9","5.97","7.08","5.88","4.45","5.5","6.21","5.41","5.79","4.52","5.86","6.34","6.07","6.26","7.11","7.11","7.38","4.9","3.46","2.94"
"price_to_sales","","","","","","","15.4","10.12","12.41","11.24","9.890000000000001","17.93","17.68","17.32","17.3","18.4","17.39","17.08","16.41","15.87","16.55","16.45","14.76","14.96","12.04","13.57","13.2","13.44","12.61","10.4","11.58","9.1","6.7","8.08","8.800000000000001","7.64","8.279999999999999","6.48","8.609999999999999","9.449999999999999","9.050000000000001","8.859999999999999","9.380000000000001","8.44","7.82","5.04","3.64","3.09"
"price_to_tangible_book","","","","","","","5.33","3.68","6.09","5.97","5.64","10.77","10.12","10.26","10.39","11.91","15.28","14.67","13.48","12.67","12.93","12.48","11.1","11.07","8.630000000000001","9.85","9.48","9.619999999999999","9.449999999999999","8.050000000000001","9.43","7.8","5.8","7.1","7.93","6.79","7.19","5.55","7.15","7.62","7.16","7.33","8.289999999999999","8.32","8.779999999999999","5.89","4.16","3.54"
"price_to_fcf","","","","","","","117.08","214.23","167.49","78.97","30.12","47.48","48.67","45.56","54.01","62.31","39.44","39.98","38.55","36.79","38.04","36.36","31.81","31.24","28.64","31.47","30.61","31.16","29.33","24.74","31.8","27.08","24.36","30.17","30.73","26","27.6","20.51","34.38","38.9","32.93","34.64","30.54","26.47","23.51","15.09","12.07","13.71"
"market_cap","","","","","","","66616.2","46915.56","63142.64","61673.38","60483.28","123214.19","139193.55","154455.36","173271.75","206136.32","216739.56","230709.32","240156","252978.6","296606.44","325185","327069.36","369032.79","332724.6","410950.65","437842","490329.38","512792.76","463710.58","561779.12","472493.58","374130.86","476066.64","550822","508240.32","585373","475546.8","647149.5","746415","778232.84","836759.73","982628.46","947916.27","921935.35","603485.04","434891.25","364646.784"
"period_end_price","","","","","","","31.1","21.66","26.62","25.58","24.88","50.23","54.65","60.24","67.29000000000001","79.04000000000001","78.02","82.22","85.77","89.90000000000001","104.66","114.1","114.28","128.27","115.05","142.05","150.98","168.73","176.46","159.79","194.32","164.46","131.09","166.69","193","178.08","205.25","166.8","227.07","261.9","273.16","294.53","347.71","339.39","336.35","222.36","161.25","135.68"
