"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"tangible_book_value","-117.846","","-199.714","","","-230.645","-253.523","44.179","-309.775","219.923","207.048","167.738","348.452","294.118","209.537","153.874","62.215","-27.875","110.433","154.433","615.397","550.328","667.12","898.394","938.792","944.674","911.71","825.997","715.934","1314.656","1070.888","970.365","2520.294","2680.488","5528.98","5731.498","6157.502","5760.186","5210.583","5312.694","4902.423","5496.867","5963","5690.026","6669.628","6945","7573","10156","10829","16979","23159","23960","25764","28024","29866","33691","37003","40487"
"roa","","","-3.95","-2.48","","-0.73","-0.39","-0.5","-0.66","-0.5","-0.41","-0.44","-0.37","-0.33","-0.36","-0.4","-0.44","-0.49","-0.41","-0.26","-0.15","-0.07000000000000001","-0.03","-0.04","-0.03","-0.04","-0.05","-0.07000000000000001","-0.08","-0.1","-0.11","-0.12","-0.11","-0.07000000000000001","-0.04","-0.03","-0.03","-0.05","-0.07000000000000001","-0.08","-0.1","-0.06","-0.03","-0.03","-0.02","-0.03","-0.03","","0.01","0.01","0.01","0.02","0.04","0.06","0.09","0.13","0.14","0.16"
"roe","","","1.02","0.64","","0.49","0.23","0.66","0.73","2.83","-0.72","-0.93","-0.75","-0.7","-0.98","-1.56","-3.17","-22.58","-8.18","-2.01","-0.55","-0.25","-0.12","-0.17","-0.18","-0.21","-0.31","-0.46","-0.68","-0.67","-0.74","-0.99","-0.64","-0.34","-0.16","-0.12","-0.12","-0.22","-0.33","-0.41","-0.5","-0.32","-0.16","-0.16","-0.1","-0.11","-0.11","-0.02","0.03","0.04","0.04","0.05","0.09","0.13","0.18","0.25","0.26","0.28"
"roic","","","1.41","0.89","","0.5","0.23","0.78","1.03","-19.09","-0.55","-0.63","-0.52","-0.45","-0.5","-0.58","-0.67","-0.82","-0.77","-0.49","-0.24","-0.12","-0.06","-0.06","-0.05","-0.06","-0.09","-0.12","-0.15","-0.18","-0.22","-0.25","-0.23","-0.16","-0.06","-0.04","-0.04","-0.08","-0.1","-0.12","-0.14","-0.09","-0.05","-0.05","-0.03","-0.04","-0.04","-0.01","0.01","0.02","0.02","0.03","0.06","0.09","0.14","0.2","0.22","0.24"
"roce","","","5.13","3.66","","-1.1","-0.62","-0.77","-1.02","-0.64","-0.5","-0.57","-0.49","-0.42","-0.47","-0.54","-0.64","-0.77","-0.72","-0.48","-0.21","-0.09","-0.04","-0.04","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.14","-0.12","-0.08","-0.05","-0.04","-0.03","-0.06","-0.07000000000000001","-0.09","-0.11","-0.06","-0.01","-0.01","0.01","0.01","","0.03","0.04","0.05","0.05","0.06","0.08","0.11","0.15","0.22","0.23","0.25"
"rotce","","","5.13","3.66","","-1.1","-0.62","-0.77","-1.02","-0.64","-0.5","-0.57","-0.49","-0.42","-0.47","-0.55","-0.64","-0.77","-0.73","-0.5","-0.21","-0.09","-0.04","-0.04","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.14","-0.12","-0.08","-0.05","-0.04","-0.03","-0.06","-0.08","-0.09","-0.11","-0.06","-0.01","-0.01","0.02","0.01","","0.03","0.04","0.06","0.05","0.06","0.08","0.11","0.16","0.22","0.24","0.26"
"gross_margin","","","-0.12","-0.1","0.08","0.17","0.1","0.19","0.22","0.3","0.31","0.37","0.32","0.3","0.2","0.34","0.18","-0.17","0.08","0.17","0.25","0.24","0.25","0.25","0.28","0.3","0.27","0.28","0.22","0.25","0.18","0.22","0.22","0.28","0.19","0.25","0.24","0.15","0.13","0.13","0.15","0.22","0.2","0.12","0.15","0.19","0.19","0.21","0.21","0.24","0.19","0.21","0.24","0.27","0.27","0.29","0.25","0.25"
"ebitda_margin","","","-1.55","-0.73","-0.24","-0.05","-1.13","-1.15","-1.02","-1.11","-1.34","-0.89","-0.9399999999999999","-1.04","-1.93","-2.8","-3.82","-2.01","-0.25","0.02","0.03","","0.04","","0.03","0.03","-0.01","-0.03","-0.08","-0.08","-0.1","-0.08","-0.04","0.16","0.03","0.04","0.05","-0.05","-0.04","-0.05","-0.01","0.14","0.13","","0.08","0.13","0.13","0.14","0.15","0.16","0.11","0.11","0.17","0.2","0.2","0.24","0.21","0.22"
"operating_margin","","","-1.64","-0.79","-0.3","-0.09","-1.23","-1.25","-1.1","-1.21","-1.42","-0.97","-1.01","-1.12","-2.06","-2.94","-3.98","-2.16","-0.3","-0.01","-0.03","-0.07000000000000001","-0.02","-0.07000000000000001","-0.04","-0.05","-0.08","-0.11","-0.18","-0.2","-0.21","-0.22","-0.19","0.04","-0.12","-0.1","-0.09","-0.18","-0.18","-0.18","-0.13","0.06","0.06","-0.11","-0.01","0.04","0.05","0.05","0.05","0.09","0.05","0.05","0.11","0.15","0.15","0.19","0.15","0.17"
"pretax_margin","","","-1.8","-0.77","-0.4","-0.11","-1.29","-1.41","-1.36","-1.12","-1.42","-1","-1.01","-1.13","-2.07","-2.98","-3.96","-2.21","-0.29","0.02","-0.07000000000000001","-0.09","-0.02","-0.08","-0.08","-0.08","-0.11","-0.16","-0.19","-0.24","-0.26","-0.24","-0.23","0.01","-0.09","-0.14","-0.14","-0.22","-0.24","-0.23","-0.18","0.04","0.03","-0.14","-0.06","0.03","0.02","0.01","0.02","0.06","0.04","0.05","0.11","0.14","0.15","0.19","0.15","0.17"
"net_income_margin","","","-1.8","-0.77","-0.4","-0.1","-1.3","-1.42","-1.36","-1.12","-1.42","-1","-1.01","-1.13","-2.07","-2.98","-3.96","-2.21","-0.29","0.02","-0.08","-0.09","-0.03","-0.08","-0.08","-0.09","-0.11","-0.16","-0.19","-0.25","-0.26","-0.25","-0.23","0.01","-0.05","-0.12","-0.12","-0.21","-0.21","-0.21","-0.18","0.05","0.02","-0.15","-0.06","0.02","0.01","","0.02","0.03","0.03","0.04","0.1","0.12","0.13","0.18","0.13","0.15"
"fcf_margin","","","-1.66","-0.82","-0.55","-0.57","-1.89","-1.58","-1.06","-1.72","-3.21","-1.3","-1.32","-1.57","-2.07","-3.91","-4.59","-3.26","-0.32","0.01","-0.19","0.06","0.07000000000000001","-0.13","-0.23","-0.37","-0.48","-0.59","-0.59","-0.64","-0.36","-0.41","-0.11","0.08","-0.49","-0.31","-0.49","-0.52","-0.12","-0.33","-0.2","0.12","0.12","-0.21","0.09","0.05","0.13","-0.15","0.07000000000000001","0.16","0.17","0.03","0.05","0.1","0.16","0.12","0.04","0.15"
"assets_to_equity","-0.3","","-0.26","","","-0.68","-0.51","3.29","-0.48","1.64","1.86","2.43","1.85","2.38","3.18","4.95","12.49","-29.03","8.93","6.78","3","3.84","3.62","4.93","5.31","5.68","6.4","7.41","9.029999999999999","5.74","7.44","9.470000000000001","4.71","4.7","3.84","4.07","3.96","4.55","5.09","4.77","5.3","5","4.71","4.79","4.46","4.38","4.23","3.49","3.36","2.61","2.2","2.17","2.1","2.03","1.97","1.87","1.82","1.81"
"equity_to_assets","-3.38","","-3.86","","","-1.48","-1.94","0.3","-2.09","0.61","0.54","0.41","0.54","0.42","0.31","0.2","0.08","-0.03","0.11","0.15","0.33","0.26","0.28","0.2","0.19","0.18","0.16","0.13","0.11","0.17","0.13","0.11","0.21","0.21","0.26","0.25","0.25","0.22","0.2","0.21","0.19","0.2","0.21","0.21","0.22","0.23","0.24","0.29","0.3","0.38","0.45","0.46","0.48","0.49","0.51","0.54","0.55","0.55"
"debt_to_equity","","","-0.28","","","","","0.6899999999999999","-0.15","0.26","0.35","0.61","0.39","0.77","1.25","2.37","7.02","-16.91","3.71","2.67","0.93","1.19","0.9","2.4","2.58","2.59","2.73","3.12","3.75","2.03","2.67","3.26","1.3","1.01","1.45","1.57","1.45","1.89","2.14","2.18","2.53","2.3","2.11","2.02","1.93","1.87","1.72","1.36","1.31","0.83","0.53","0.48","0.39","0.33","0.25","0.17","0.15","0.12"
"debt_to_assets","","","1.07","","","","0.01","0.21","0.31","0.16","0.19","0.25","0.21","0.32","0.39","0.48","0.5600000000000001","0.58","0.41","0.39","0.31","0.31","0.25","0.49","0.49","0.46","0.43","0.42","0.41","0.35","0.36","0.34","0.28","0.22","0.38","0.39","0.37","0.42","0.42","0.46","0.48","0.46","0.45","0.42","0.43","0.43","0.41","0.39","0.39","0.32","0.24","0.22","0.19","0.16","0.13","0.09","0.08","0.07000000000000001"
"revenue_per_share","","","0.01","0.01","0.01","0.02","0.01","0.01","0.25","0.02","0.03","0.03","0.04","0.04","0.03","0.02","0.02","0.03","0.18","0.3","0.23","0.24","0.33","0.34","0.41","0.45","0.51","0.5","0.5","0.48","0.62","0.58","0.6","0.98","0.98","1.11","1.13","1.19","1.29","1.34","1.57","2.56","2.79","1.75","2.39","2.28","2.73","2.01","1.94","2.65","3.1","3.06","3.56","4.08","5.25","5.4","4.89","6.19"
"ebitda_per_share","","","-0.01","-0.01","","","-0.01","-0.02","-0.25","-0.03","-0.03","-0.03","-0.04","-0.04","-0.05","-0.05","-0.06","-0.06","-0.05","0.01","0.01","","0.01","","0.01","0.01","","-0.01","-0.04","-0.04","-0.06","-0.05","-0.03","0.16","0.03","0.05","0.06","-0.05","-0.05","-0.07000000000000001","-0.01","0.35","0.35","","0.2","0.29","0.34","0.28","0.29","0.42","0.34","0.33","0.6","0.84","1.03","1.29","1.02","1.34"
"operating_income_per_share","","","-0.01","-0.01","","","-0.01","-0.02","-0.27","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","","-0.01","-0.02","-0.01","-0.02","-0.02","-0.02","-0.04","-0.05","-0.09","-0.09","-0.13","-0.12","-0.11","0.04","-0.11","-0.11","-0.1","-0.21","-0.24","-0.24","-0.2","0.17","0.16","-0.18","-0.02","0.09","0.13","0.09","0.11","0.24","0.17","0.15","0.4","0.61","0.77","1.04","0.75","1.06"
"pretax_income_per_share","","","-0.01","-0.01","-0.01","","-0.01","-0.02","-0.34","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","0.01","-0.02","-0.02","-0.01","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.16","-0.14","-0.14","0.01","-0.09","-0.15","-0.16","-0.27","-0.31","-0.31","-0.29","0.1","0.09","-0.25","-0.14","0.06","0.06","0.02","0.05","0.17","0.11","0.16","0.39","0.5600000000000001","0.78","1.04","0.71","1.05"
"fcf_per_share","","","-0.01","-0.01","-0.01","-0.01","-0.02","-0.02","-0.26","-0.04","-0.08","-0.04","-0.05","-0.06","-0.05","-0.08","-0.08","-0.1","-0.06","","-0.04","0.01","0.02","-0.04","-0.1","-0.17","-0.24","-0.3","-0.3","-0.31","-0.22","-0.23","-0.07000000000000001","0.07000000000000001","-0.49","-0.35","-0.55","-0.62","-0.16","-0.44","-0.32","0.31","0.34","-0.36","0.22","0.13","0.36","-0.31","0.13","0.42","0.54","0.08","0.18","0.39","0.82","0.64","0.18","0.95"
"book_value_per_share","-0.06","","-0.1","","","-0.11","-0.12","0.03","-2.7","0.16","0.15","0.12","0.24","0.19","0.14","0.1","0.04","-0.02","0.07000000000000001","0.09","0.36","0.31","0.36","0.49","0.51","0.51","0.48","0.44","0.38","0.68","0.55","0.49","1.2","1.14","2.54","2.53","2.66","2.46","2.22","2.25","2.07","2.19","2.44","2.33","2.69","2.7","3","3.58","3.65","5.28","6.83","7.2","7.82","8.460000000000001","9.359999999999999","10.2","10.87","11.86"
"tangible_book_per_share","-0.06","","-0.1","","","-0.11","-0.12","0.03","-2.7","0.16","0.15","0.12","0.24","0.19","0.13","0.1","0.04","-0.02","0.06","0.08","0.35","0.3","0.36","0.49","0.5","0.5","0.48","0.44","0.38","0.68","0.54","0.49","1.2","1.14","2.38","2.36","2.48","2.3","2.05","2.09","1.92","2.06","2.31","2.19","2.51","2.51","2.8","3.41","3.48","5.12","6.68","7.05","7.67","8.32","8.85","9.710000000000001","10.68","11.67"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","","","0.47","","","0.31","","0.05","-0.31","0.95","1.36","1.05","0.85","0.09","-0.38","-0.54","-0.13","6.78","17.62","14.2","7.61","1.01","0.1","0.9","0.97","0.55","0.51","0.24","0.1","0.27","0.22","0.33","1.45","0.88","1.35","1.2","0.3","0.44","0.26","0.43","1.29","1.2","0.33","0.59","-0.08","0.02","0.32","-0.05","0.39","0.46","0.74","0.98","0.57","0.65","0.8100000000000001","0.42","0.5600000000000001"
"gross_profit_growth","","","","-0.2","","","2.05","2.88","1.98","0.21","5.36","3.68","1.96","0.85","-0.31","-0.43","-0.74","-1.51","2.04","8.43","20.1","12.74","5.56","0.61","1.12","1.45","0.67","0.68","","-0.08","-0.16","-0.03","0.29","1.75","0.99","1.65","1.43","-0.29","0.01","-0.32","-0.07000000000000001","2.39","2.28","0.24","0.49","-0.22","-0.04","1.18","0.38","0.73","0.49","0.79","1.28","0.77","1.35","1.47","0.47","0.47"
"ebitda_growth","","","","0.31","","","0.04","-0.57","-3.51","-13.82","-1.32","-0.84","-0.88","-0.73","-0.5600000000000001","-0.93","-0.87","-0.68","-0.03","1.14","1.1","0.98","1.31","-0.98","1.49","13.28","-1.28","-85.17","-4.04","-3.84","-15.99","-2.62","0.3","5.99","1.52","2.3","3.7","-1.37","-3.13","-2.52","-1.22","8.01","8.130000000000001","0.9399999999999999","17.18","-0.16","0.01","84.59999999999999","0.6899999999999999","0.76","0.29","0.33","1.26","1.02","1.9","3.02","0.75","0.65"
"operating_income_growth","","","","0.29","","","0.01","-0.57","-2.88","-7.82","-1.25","-0.82","-0.87","-0.7","-0.57","-0.87","-0.8100000000000001","-0.68","-0.12","0.9399999999999999","0.89","0.72","0.85","-6.87","-1.44","-0.28","-4.6","-1.33","-4.92","-3.69","-2.48","-1.42","-0.4","1.47","-0.02","-0.04","-0.01","-7.25","-1.24","-1.32","-1.15","1.83","1.7","0.2","0.9","-0.41","-0.17","1.59","7.54","2.1","0.66","0.74","3.08","1.54","3.54","6.31","0.95","0.79"
"pretax_income_growth","","","","0.37","","","0.06","-0.84","-2.55","-6.21","-1.14","-0.66","-0.53","-0.86","-0.58","-0.84","-0.8","-0.7","-0.11","1.13","0.71","0.66","0.83","-5.3","-1.01","-0.88","-5.97","-2.09","-1.98","-2.21","-2.03","-0.84","-0.6","1.13","0.34","-0.34","-0.33","-23.37","-2.74","-1.09","-0.89","1.4","1.3","0.17","0.49","-0.35","-0.25","1.11","1.41","2.15","1.18","6.61","7.62","2.39","5.95","5.8","0.91","0.93"
"net_income_growth","","","","0.37","","","0.05","-0.84","-2.54","-6.57","-1.12","-0.66","-0.53","-0.86","-0.59","-0.84","-0.79","-0.7","-0.1","1.13","0.71","0.65","0.82","-5.43","-1.03","-0.9399999999999999","-5.62","-2.1","-1.98","-2.08","-1.98","-0.83","-0.59","1.1","0.62","-0.17","-0.15","-29.31","-4.57","-1.15","-1.13","1.5","1.21","0.01","0.43","-0.54","-0.25","1.02","1.25","1.1","1.87","26.38","9.98","4.39","6.71","6.58","0.98","1.03"
"eps_diluted_growth","","","","0.33","","","","-1.63","-66.2","-11.5","-2","-0.62","0.88","-0.68","-0.44","-0.68","-0.68","-0.67","-0.02","1.11","0.75","0.7","0.83","-5.5","-0.9399999999999999","-0.9","-5.33","-2","-1.94","-1.98","-1.86","-0.75","-0.43","1.08","0.68","0.04","0.02","-28.44","-4.13","-1.05","-1.07","1.47","1.19","0.02","0.45","-0.55","-0.29","1.03","1.21","0.7","1.16","17.57","9.300000000000001","4.33","7.54","6.33","0.91","0.98"
"shares_diluted_growth","","","0.03","","0.03","0.03","","-0.33","-0.95","-0.34","-0.32","0.02","11.79","0.13","0.1","0.1","0.08","0.01","0.09","0.19","0.12","0.15","0.08","-0.01","0.05","0.03","0.02","0.02","0.02","0.03","0.04","0.05","0.1","0.22","0.18","0.22","0.18","0.07000000000000001","0.09","0.04","0.03","0.06","0.02","0.02","0.04","0.04","0.05","0.15","0.17","0.2","0.28","0.14","0.08","0.02","-0.03","0.02","0.03","0.03"
"cash_and_equiv_growth","","-1","","-1","-1","","6.51","","","-0.09","0.43","0.64","5.75","1.21","1.56","1.17","-0.34","-0.6","-0.21","-0.02","2.54","8.279999999999999","3.19","10.16","2.59","1.98","1.25","-0.37","-0.57","-0.4","-0.37","-0.05","1.82","1.16","1.83","1.78","-0.06","0.14","-0.01","-0.33","-0.26","-0.16","0.09","-0.18","1.22","0.8","0.7","2.68","0.74","1.72","2.09","1.12","0.88","0.11","-0.09","0.02","0.13","0.22"
"ppe_growth","","-1","","-1","-1","","0.25","","","1.2","4.21","4.68","5.04","5.06","1.53","1.47","1.17","0.92","0.8100000000000001","0.57","0.68","0.85","0.99","1.2","1.16","1.19","1.32","1.41","1.4","1.21","1","0.86","0.73","0.63","1.89","1.84","1.79","1.69","0.36","0.16","0.08","0.01","-0.04","0.01","","0.01","0.03","0.06","0.07000000000000001","0.11","0.16","0.21","0.29","0.33","0.33","0.31","0.25","0.18"
"total_assets_growth","","-1","","-1","-1","","1.52","","","1.32","1.96","1.8","3.37","0.9399999999999999","0.85","0.87","0.2","0.16","0.5600000000000001","0.5","1.43","1.68","1.17","2.93","1.68","1.51","1.41","0.36","0.28","0.39","0.38","0.5","0.83","0.67","1.81","1.73","1.19","1.23","0.26","0.09","0.07000000000000001","0.04","0.04","0.06","0.14","0.12","0.15","0.29","0.2","0.39","0.52","0.42","0.45","0.27","0.19","0.25","0.24","0.29"
"total_equity_growth","","1","","1","1","","-0.27","","","1.95","1.82","2.8","2.12","0.34","0.08","-0.08","-0.82","-1.09","-0.44","0.1","9.119999999999999","21.24","4.35","4.41","0.51","0.7","0.37","-0.09","-0.25","0.37","0.19","0.17","2.52","1.04","4.45","5.35","1.61","1.3","-0.05","-0.07000000000000001","-0.2","-0.05","0.12","0.06","0.36","0.28","0.28","0.77","0.59","1.34","1.92","1.29","1.32","0.63","0.33","0.45","0.43","0.44"
"cfo_growth","","","","0.28","","","-0.3","-0.6899999999999999","-0.66","-0.96","-0.18","-0.58","-0.11","0.53","-0.19","-0.46","-1.86","-3.7","0.14","2.01","0.45","2.01","4.8","-0.08","0.95","-1.27","-1.64","-3.24","-94.98","-6.26","0.65","-0.89","1.94","3.08","-14.02","0.72","-2.33","-1.71","2.14","-4.71","0.35","5.63","1.42","-0.61","7.66","-0.46","0.15","0.31","0.12","2.17","1.12","4.73","1.2","0.31","0.52","1.43","0.11","0.62"
"capex_growth","","","","0.21","","","-4.42","-5.07","-2.88","-2.44","-12.29","-2.74","-4.53","-7.86","0.51","-1.68","-0.07000000000000001","0.09","-0.58","-0.05","0.3","-0.23","-0.4","-1.45","-3.34","-2.71","-3.12","-2.01","-1.31","-0.38","-0.12","0.49","0.27","0.37","-0.66","-2.56","-2.93","-4.03","-0.33","0.06","0.42","0.55","0.61","0.58","0.6","0.27","-0.27","-0.58","-1.11","-1.49","-1.59","-1.83","-1.68","-0.79","-0.5600000000000001","-0.3","-0.14","0.01"
"fcf_growth","","","","0.27","","","-0.5","-0.92","-1.05","-1.09","-2.31","-0.9399999999999999","-1.55","-0.68","0.3","-0.85","-0.59","-0.8100000000000001","-0.22","1.05","0.38","1.16","1.45","-14.01","-1.34","-13.25","-11.21","-5.75","-2.18","-0.91","0.03","0.16","0.74","1.3","-1.56","-0.8100000000000001","-8.41","-9.779999999999999","0.65","-0.34","0.41","1.54","3.22","0.16","1.74","-0.58","0.11","0.03","-0.33","2.99","0.9","1.31","0.53","-0.04","0.49","6.91","0.02","1.49"
"shares_eop","2044.95","2044.95","2099.745","2099.745","2099.745","2099.745","1396.64","1396.64","1396.64","1398.8","1423.63","1433.32","1559.71","1562.83","1567.95","1577.47","1579.85","1586.59","1713.21","1727.42","1821.44","1838.49","1846.36","1860.61","1868.82","1880.49","1885.31","1895.43","1906.51","1963.52","1971.38","2007.87","2220.23","2247.38","2423.42","2462.46","2502.95","2520.25","2531.96","2546.25","2557.74","2573.67","2589.04","2605.23","2686.77","2700","2715.93","2775","2794.79","2843.56","2880","2889","2952","3012","3099","3108","3123","3158"
"dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","","","","","","","-22.9","-14.95","-16.37","-15.26","-15.6","-11.33","-11.73","-13.26","-9.630000000000001","-7.99","-9.76","-14.79","-59.26","-160.48","-250.18","-191.44","-179.67","-150.12","-95.06999999999999","-59.87","-65.48","-48.11","-35.5","-30.25","-27.91","-34.98","-51.15","-63.2","-78.76000000000001","-40.72","-26.79","-19.3","-21.48","-25.35","-58.85","-50.18","-60.74","-52.43","-87.87","-673.1900000000001","546.71","774.55","939.59","562.74","306.66","222.52","197.8","132.92","73.67","74.86"
"price_to_book","","","","","","","","","-7.16","8.65","12.2","15.81","8.69","8.640000000000001","13.32","25.45","52.97","-111.1","31.02","25.88","20.71","42.01","27.76","28.35","31.41","31.76","30.66","28.88","47.62","24.73","29.11","31.7","12.47","11.4","5.85","7.42","9.17","9.279999999999999","9.33","7.9","11.1","7.76","9.1","8.050000000000001","5.6","5.79","9.34","9.08","17.75","23.24","28.61","26.29","25.48","27.32","34.56","31.53","18.62","20.37"
"price_to_sales","","","","","","","","","19.58","19.21","21.65","18.29","17.34","12.63","14.62","21.13","21.42","21.17","9.359999999999999","4.62","9.85","13.9","9.199999999999999","12.48","12.28","10.65","8.74","6.78","9.210000000000001","8.58","7.8","7.23","6.88","5.16","4.93","5.34","5.99","5.33","4.47","3.62","4.27","2.59","2.68","2.15","1.6","1.78","3.08","3.73","7.83","14.43","21.48","17.9","15.98","16.62","20.28","17.95","10.44","11.19"
"price_to_tangible_book","","","","","","","","","-7.16","8.65","12.2","15.81","8.69","8.640000000000001","14.25","25.45","52.97","-111.1","35.03","28.25","21.18","43.07","27.76","28.78","31.86","32.21","30.66","28.88","47.62","24.73","29.46","31.7","12.47","11.4","6.24","7.97","9.800000000000001","9.949999999999999","10.09","8.5","11.93","8.26","9.630000000000001","8.539999999999999","6","6.24","10","9.550000000000001","18.58","23.95","29.25","26.85","25.96","27.78","36.55","33.14","18.95","20.69"
"price_to_fcf","","","","","","","","","-17.92","-12.53","-10.83","-10.04","-9.74","-7.31","-9.56","-10.69","-8","-6.38","-7.69","-11.52","-39.25","-165.44","31926.11","-292.46","-157.46","-57.67","-27.21","-15.88","-18.04","-14.96","-14.61","-14.87","-19.07","-34.9","-22.07","-23.55","-19.13","-11.76","-12.69","-10.21","-15.09","-30.32","-259.92","-1246.72","29.35","49.38","77.84999999999999","97.23","251.8","221.96","249.89","164.38","162.18","191.44","219.08","161.21","101.06","93.98999999999999"
"market_cap","","","","","","","","","2219.26096","1902.368","2526.94325","2651.642","3028.95682","2541.16158","2985.3768","3916.85801","3295.5671","3097.02368","3868.42818","4363.46292","13036.04608","23699.97459","18517.14444","25856.89717","29908.59528","30424.44771","27953.49137","23853.98655","34096.02484","32515.8912","31544.05138","30756.55266","31420.69496","30568.86276","34524.04132","45686.02038","60338.61565","57310.485","52555.89372","45175.5675","58477.60962","45427.84917","57443.03048","48605.77611","40024.81269","43356.6","75744.57177","96939.075","201188.54773","406637.61068","677442.24","643215.627","668825.784","778580.916","1091653.74","1116393.6","701029.179","837659.5"
"period_end_price","","","","","","","","","1.59","1.36","1.78","1.85","1.94","1.63","1.9","2.48","2.09","1.95","2.26","2.53","7.16","12.89","10.03","13.9","16","16.18","14.83","12.59","17.88","16.56","16","15.32","14.15","13.6","14.25","18.55","24.11","22.74","20.76","17.74","22.86","17.65","22.19","18.66","14.9","16.06","27.89","34.93","71.98999999999999","143","235.22","222.64","226.57","258.49","352.26","359.2","224.47","265.25"
