"period_end_date","2010-12","2011-12","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06"
"revenue","","","82.327","112.247","114.343","139.292","168.58","242.675","250.492","312.166","361.266","479.078","435.939","502.383","569.237","710.473","594.521","601.958","615.934","717.206","548.251","573.855","589.633","731.5599999999999","664.871","710.5410000000001","758.111","908.836","786.89","841.381","823.717","1007.341","807.6369999999999","683.438","936.2329999999999","1289.041","1036.018","1190.427","1283.817","1567.22","1200.984","1176.66"
"cogs","","","33.693","36.918","41.255","50.573","62.239","112.651","85.503","100.027","124.166","136.613","143.475","167.623","200.195","217.963","198.405","202.966","225.159","305.71","220.339","212.908","210.016","217.979","222.823","230.185","243.644","268.345","264.011","277.965","281.057","314.008","284.037","288.039","361.388","432.924","381.008","416.932","484.479","515.091","507.45","540.676"
"gross_profit","","","48.634","75.32899999999999","73.08799999999999","88.71899999999999","106.341","130.024","164.989","212.139","237.1","342.465","292.464","334.76","369.042","492.51","396.116","398.992","390.775","411.496","327.912","360.947","379.617","513.581","442.048","480.356","514.467","640.491","522.879","563.4160000000001","542.66","693.333","523.6","395.399","574.845","856.117","655.01","773.495","799.338","1052.129","693.534","635.984"
"sga","","","37.616","43.765","49.421","63.372","82.366","244.852","144.969","184.955","215.189","258.903","249.334","266.857","266.342","349.631","299.438","306.857","291.815","352.995","239.462","256.135","236.223","269.487","243.777","262.158","271.835","292.409","282.975","328.488","319.962","342.209","330.655","453.523","309.861","356.253","352.119","443.384","451.933","512.87","449.672","524.8869999999999"
"rnd","","","32.319","40.34","47.574","64.26300000000001","87.307","394.848","149.391","177.095","183.342","181.715","189.746","198.907","207.937","210.058","155.794","178.511","177.049","202.128","128.728","143.171","136.115","133.996","123.346","138.574","150.764","141.174","146.246","159.242","178.553","198.24","200.388","215.806","208.877","247.94","250.709","299.859","324.252","371.884","371.695","454.859"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","","","69.935","84.105","96.995","127.635","169.673","639.7","294.36","362.05","398.531","440.618","439.08","465.764","474.279","559.689","455.232","485.368","468.864","555.123","368.19","399.306","372.338","403.483","367.123","400.732","422.599","433.583","429.221","487.73","498.515","540.449","531.043","669.329","518.7380000000001","604.193","602.828","743.2430000000001","776.1849999999999","884.754","821.367","979.746"
"operating_income","","","-21.301","-8.776","-23.907","-38.916","-63.332","-509.676","-129.371","-149.911","-161.431","-98.15300000000001","-146.616","-131.004","-105.237","-67.179","-59.116","-86.376","-78.089","-143.627","-40.278","-38.359","7.279","110.098","74.925","79.624","91.86799999999999","206.908","93.658","75.68600000000001","44.145","152.884","-7.443","-273.93","56.107","251.924","52.182","30.252","23.153","167.375","-127.833","-343.762"
"net_interest_income_normal","","","-0.766","-0.83","-1.233","-1.513","-1.727","-3.103","-3.102","-2.654","-6.079","-24.083","-24.319","-24.437","-25.239","-24.183","-24.893","-24.934","-24.86","-1.004","-16.889","-15.91","-14.704","-13.351","-10.834","-8.022","-2.269","-0.26","3.281","4.57","4.122","7.55","-0.373","-14.815","-22.447","-27.065","-2.184","-4.691","-5.159","-3.469","-7.482","-9.747"
"other_nonoperating_income","","","0.9379999999999999","-0.527","-1.529","-1.019","0.8179999999999999","-2.009","1.333","2.324","-7.795","0.571","9.125","-0.695","1.948","4.531","6.306","6.734","6.64","-17.615","-1.198","-58.806","-10.106","-3.194","-0.209","-5.735","-2.341","-0.111","-0.436","7.523","-0.504","-2.34","-7.719","-0.361","-3.977","-0.84","0.006","55.739","-745.076","20.759","963.968","17.605"
"pretax_income","","","-21.129","-10.133","-26.669","-41.448","-64.241","-514.788","-131.14","-150.241","-175.305","-121.665","-161.81","-156.136","-128.528","-86.831","-77.703","-104.576","-96.309","-162.246","-58.365","-113.075","-17.531","93.553","63.882","65.867","87.258","206.537","96.503","87.779","47.763","158.094","-15.535","-289.106","29.683","224.019","50.004","81.3","-727.082","184.665","828.653","-335.904"
"income_tax","","","-0.461","1.428","-0.357","-0.777","-0.36","3.317","-1.222","5.599","-0.159","-3.687","-0.632","19.473","-3.162","-3.405","-2.028","-2.641","-6.562","-4.808","-3.194","-3.413","-3.564","-2.474","-2.885","34.25","701.921","48.766","94.301","1031.781","-11.241","-39.321","7.139","-1088.899","-1.024","-1.903","18.001","-15.651","190.325","-2.971","-315.367","65.89700000000001"
"net_income_continuing","","","-21.59","-8.705","-27.026","-42.225","-64.601","-511.471","-132.362","-144.642","-175.464","-125.352","-162.442","-136.663","-131.69","-90.236","-79.73099999999999","-107.217","-102.871","-167.054","-61.559","-116.488","-21.095","91.07899999999999","60.997","100.117","789.179","255.303","190.804","1119.56","36.522","118.773","-8.396000000000001","-1378.005","28.659","222.116","68.005","65.649","-536.7569999999999","181.694","513.2859999999999","-270.007"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","","","-21.59","-8.705","-27.026","-42.225","-64.601","-511.471","-132.362","-144.642","-175.464","-125.352","-162.442","-136.663","-131.69","-90.236","-79.73099999999999","-107.217","-102.871","-167.054","-61.559","-116.488","-21.095","91.07899999999999","60.997","100.117","789.179","255.303","190.804","1119.56","36.522","118.773","-8.396000000000001","-1378.005","28.659","222.116","68.005","65.649","-536.7569999999999","181.694","513.2859999999999","-270.007"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","","","-21.59","-8.705","-27.026","-42.225","-64.601","-511.471","-132.362","-144.642","-175.464","-125.352","-162.442","-136.663","-131.69","-90.236","-79.73099999999999","-107.217","-102.871","-167.054","-61.559","-116.488","-21.095","91.07899999999999","60.997","100.117","789.179","255.303","190.804","1119.56","36.522","118.773","-8.396000000000001","-1378.005","28.659","222.116","68.005","65.649","-536.7569999999999","181.694","513.2859999999999","-270.007"
"eps_basic","","","-0.05","-0.02","-0.06","-0.09","-0.12","-1.41","-0.23","-0.24","-0.29","-0.2","-0.25","-0.21","-0.2","-0.13","-0.12","-0.15","-0.15","-0.23","-0.09","-0.16","-0.03","0.12","0.08","0.13","1.04","0.34","0.25","1.46","0.05","0.15","-0.01","-1.75","0.04","0.28","0.09","0.08","-0.67","0.23","0.66","-0.35"
"eps_diluted","","","-0.05","-0.02","-0.06","-0.09","-0.12","-1.41","-0.23","-0.24","-0.29","-0.2","-0.25","-0.21","-0.2","-0.13","-0.12","-0.15","-0.15","-0.23","-0.09","-0.16","-0.03","0.12","0.08","0.13","1.02","0.33","0.25","1.43","0.05","0.15","-0.01","-1.75","0.04","0.27","0.08","0.08","-0.67","0.21","0.61","-0.35"
"shares_basic","449.9","102.544","471.052","471.052","471.052","471.052","544.697","569.922","570.205","595.607","614.395","629.794","640.4640000000001","655.721","670.604","682.533","691.564","698.326","704.359","714.228","722.048","730.069","736.515","741.9299999999999","747.697","752.351","756.537","760.605","764.55","768.755","772.789","776.759","780.688","785.909","790.827","794.08","795.633","796.472","797.985","799.967","778.937","766.837"
"shares_diluted","449.9","102.544","471.052","471.052","471.052","471.052","544.697","569.922","570.205","595.607","614.395","629.794","640.4640000000001","655.721","670.604","682.533","691.564","698.326","704.359","714.228","722.048","730.069","736.515","741.9299999999999","765.861","772.556","776.002","776.211","777.689","785.056","790.523","788.795","780.688","785.909","806.383","794.08","872.187","869.1799999999999","797.985","799.967","838.59","766.837"
"cash_and_equiv","","218.996","","203.328","","164.509","155.704","841.01","960.755","844.976","2252.795","1510.724","1607.405","883.307","876.432","911.471","1027.661","947.71","1011.957","988.598","1191.566","1288.323","1586.558","1638.413","1601.028","2544.641","1928.929","1894.444","2247.661","2183.111","1869.444","1799.082","3463.349","3112.454","2201.073","1988.429","4248.702","4125.595","3473.865","2186.549","2283.308","2680.596"
"st_investments","","330.543","","221.528","","210.549","165.371","1393.044","1215.84","1252.055","1394.887","2111.154","1949.803","2677.263","2612.762","2583.877","2548.749","2640.448","2652.226","2785.981","2752.111","2791.589","2671.538","2764.689","2927.803","3116.474","4027.614","4314.957","4212.231","4503.427","3946.94","4839.97","4207.315","4653.56","5479.974","5483.873","4557.585","4481.468","3937.447","4207.133","3978.645","3440.147"
"receivables","","39.834","","112.155","","123.709","147.542","247.328","237.86","287.082","324.731","418.454","415.479","475.204","536.788","638.694","576.8","556.7809999999999","590.1079999999999","650.65","501.153","524.064","509.854","664.268","611.84","614.944","621.943","788.7","684.22","719.904","684.186","850.184","656.377","600.777","747.548","1041.743","850.075","954.265","1014.208","1217.404","948.1420000000001","972.591"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","","6.6949999999999","","17.455","","23.953","29.548","93.297","90.925","79.773","201.472","215.521","221.404","234.653","237.577","247.75","235.699","237.1","224.122","226.967","250.502","236.126","234.472","254.514","268.564","264.445","141.274","112.935","111.673","106.341","123.881","130.839","140.538","128.496","160.984","123.063","207.38","166.813","223.714","307.284","265.973","180.247"
"total_current_assets","","596.068","","554.466","","522.72","498.165","2574.679","2505.38","2463.886","4173.885","4255.853","4194.091","4270.427","4263.559","4381.792","4388.909","4382.039","4478.413","4652.196","4695.332","4840.102","5002.422","5321.884","5409.235","6540.504","6719.76","7111.036","7255.785","7512.783","6624.451","7620.075","8467.579","8495.287","8589.579","8637.108","9863.742","9728.141","8649.234","7918.37","7476.068","7273.581"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","","84.539","","258.811","","357.031","423.517","499.727","583.265","704.941","788.34","888.27","987.1079999999999","1096.53","1209.832","1314.009","1395.854","1479.676","1599.906","1641.828","1713.034","1780.886","1834.222","1928.088","2027.349","2187.421","2232.514","2165.252","2977.292","3131.681","3141.656","3279.526","3361.941","3496.536","4027.615","4284.67","4556.365","5061.67","5281.24","5479.083","5737.138","3547.755"
"accumulated_depreciation","","-22.556","","-73.23699999999999","","-114.478","-139.493","-167.065","-199.993","-237.307","-284.382","-331.251","-387.357","-445.513","-510.33","-578.71","-649.141","-720.8390000000001","-796.601","-857.927","-930.6130000000001","-999.614","-1080.905","-1154.373","-1225.437","-1272.626","-1328.487","-1280.174","-1356.887","-1454.313","-1483.967","-1550.65","-1614.043","-1713.733","-1806.682","-1860.737","-1935.255","-2023.863","-2111.831","-2201.799","-2314.122",""
"ppe_net","","61.983","","185.574","","242.553","284.024","332.662","383.272","467.634","503.958","557.019","599.751","651.0170000000001","699.502","735.299","746.713","758.837","803.3049999999999","783.901","782.421","781.272","753.317","773.715","801.912","914.795","904.027","885.078","1620.405","1677.368","1657.689","1728.876","1747.898","1782.803","2220.933","2423.933","2621.11","3037.807","3169.409","3277.284","3423.016","3547.755"
"intangible_assets","","6.419","","3.756","","14.434","12.097","77.624","71.44799999999999","105.498","115.344","105.011","99.316","156.355","147.287","141.013","128.277","127.773","111.984","95.32899999999999","79.38800000000001","65.29000000000001","54.56","49.649","44.796","49.193","44.809","45.024","40.243","50.725","46.917","55.105","64.568","64.342","58.92","58.334","62.719","57.513","46.698","69.324","59.727","52.641"
"goodwill","","36.76","","68.81","","163.72","171.03","363.48","363.48","514.6","622.64","622.5700000000001","702.7","1102.19","1123.12","1122.73","1122.53","1186.3","1184.4","1185.32","1183.69","1186.19","1187.88","1188.94","1190.93","1228.99","1227.94","1227.27","1228.64","1246.88","1243.47","1256.7","1269.63","1284.33","1289.15","1312.35","1316.46","1325.2","1293.83","1301.52","1298.46","1303.44"
"other_lt_assets","","19.445","","18.962","","20.632","27.487","17.795","32.629","33.199","32.827","42.629000000001","47.559","50.345","55.596","61.605","89.739","161.865","164.844","153.619","151.911","90.24400000000099","77.61000000000099","78.289","92.567999999999","127.748","849.6559999999999","894.164","1000.158","2033.851","2028.398","2042.633","1991.05","920.825","930.21","947.365","1120.044","1174.564","1430.174","1493.018","1293.686","1401.87"
"total_assets","","720.675","","831.568","","964.059","992.803","3366.24","3356.209","3584.817","5448.654","5583.082","5643.417","6230.334","6289.064","6442.439","6476.168","6616.814","6742.946","6870.365","6892.742","6963.098","7075.789","7412.477","7539.441","8861.23","9746.191999999999","10162.572","11145.231","12521.607","11600.925","12703.389","13540.725","12547.587","13088.792","13379.09","14984.075","15323.225","14589.345","14059.516","13550.957","13579.287"
"accounts_payable","","4.543","","8.432","","10.421","9.407999999999999","27.994","19.714","23.084","30.619","53.241","48.384","51.614","40.1","134.081","90.35299999999999","91.41500000000001","104.296","122.236","86.176","107.398","103.112","170.969","137.968","161.3","116.685","145.186","172.169","206.282","150.785","161.148","183.921","162.16","241.102","194.281","219.899","325.446","207.912","203.171","189.524","153.092"
"tax_payable","","5.266","","5.711","","7.352","8.487","9.515000000000001","10.073","11.845","17.341","18.38","","","22.536","25.88","25.537","24.757","26.978","34.253","29.435","30.945","35.012","36.097","29.988","33","36.486","39.729","40.242","37.067","35.659","45.967","14.372","17.881","31.71","40.384","28.444","37.588","41.875","47.83","54.294","47.747"
"current_accrued_liabilities","","11.932","","34.859","","49.2","61.464","56.434","74.977","125.48","179.138","123.174","159.446","180.551","153.655","143.332","127.23","151.948","149.987","230.671","196.809","179.569","145.054","164.859","152.412","157.868","158.466","171.243","163.67","195.563","169.102","195.474","184.738","339.283","377.661","392.491","404.121","438.082","1263.979","466.866","359.029","310.956"
"st_debt","","","","","","","","","","","","","","","","","","","","","","","","","","","884.4349999999999","897.328","910.2569999999999","923.648","","","","","905.532","917.866","953.046","953.5650000000001","","","",""
"current_deferred_revenue","","","","3.574","","","","14.479","15.405","21.443","21.881","18.679","","22.274","28.813","23.674","18.878","25.302","32.288","33.659","21.877","22.7","23.094","27.824","29.073","67.46299999999999","50.739","38.949","35.497","72.946","69.44199999999999","68.98699999999999","44.734","70.515","57.18","58.976","72.392","104.532","92.82599999999999","78.541","64.404","130.524"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","3.309","","8.467000000000001","","11.389","16.031","29.882","50.829","88.779","82.97","68","80.517","71.79600000000001","89.053","90.90600000000001","79.075","75.181","74.887","82.354","74.446","73.833","92.992","98.553","92.642","92.73","134.876","155.83","118.686","122.72","171.473","190.465","126.412","106.302","157.334","171.681","179.74","194.9","290.088","325.113","261.051","186.962"
"total_current_liabilities","","47.744","","109.879","","139.9","166.168","225.43","261.251","370.375","442.476","393.794","394.295","424.841","427.778","506.039","422.765","449.638","470.598","584.021","488.992","494.578","481.202","583.278","528.654","594.419","1457.646","1516.311","1621.679","1733.738","762.627","832.476","710.02","841.107","1935.103","1952.826","2036.693","2257.919","2114.981","1343.867","1136.707","1017.263"
"lt_debt","","","","","","","","","","","1293.604","1376.02","1395.113","1414.896","1434.968","1455.095","1475.513","1496.44","1517.673","1538.967","1560.33","1582.468","1604.932","1627.46","1650.064","2560.943","1710.065","1730.922","1751.695","1773.092","1794.885","2508.8","3398.278","3427.356","2551.427","2568.872","4246.025","4248.338","4250.678","4253.019","5244.181","5246.849"
"noncurrent_capital_leases","","21.104","","65.732","","80.131","89.7","110.52","102.534","101.929","121.621","118.95","99.693","83.381","73.52500000000001","59.695","45.478","43.253","54.389","66.837","77.78","83.41","85.622","81.30800000000001","71.97","53.184","37.371","24.394","643.139","621.789","584.062","609.245","582.872","560.461","727.011","819.748","899.7569999999999","1026.006","980.764","1071.209","1173.879","1282.393"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","12.156","","","","59.5","29.574","31.929","29.42","24.706","26.077","31.768","32.958","2.978","3.847","7.769","8.191000000000001","7.556","8.353","9.247","11.858","13.24","15.535","17.077","20.732","17.849","20.263","23.393","20.329","24.17","25.366","26.579","28.845","31.463","32.033","40.791","40.009","40.691","41.227","41.19"
"other_lt_liabilities","","853.665","","891.973","","27.132","31.89","20.784","26.004","33.991","36.495","43.209","41.142","44.264","45.672","50.585","51.079","62.861","62.763","68.04900000000001","66.911","64.499","62.769","59.973","62.782000000001","64.703","67.806","67.502","19.636","24.781","23.38","24.312","28.562","34.029","34.317999999998","36.099","32.917","34.043","30.282","43.531","50.047","59.111"
"total_liabilities","","922.513","","1079.74","","247.163","287.758","416.234","419.363","538.224","1923.616","1956.679","1956.32","1999.15","2014.901","2074.392","1998.682","2059.961","2113.614","2265.43","2202.366","2234.202","2246.383","2365.259","2329.005","3290.326","3293.62","3356.978","4056.412","4176.793","3185.283","3999.003","4745.098","4889.532","5276.704","5409.008","7247.425","7607.097","7416.714","6752.317","7646.041","7646.806"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","-269.904","","-349.303","","-748.186","-868.37","-994.626","-1126.988","-1271.63","-1447.094","-1572.446","-1734.888","-1871.551","-2003.241","-2093.477","-2173.208","-2280.425","-2383.296","-2550.35","-2625.225","-2741.713","-2762.808","-2671.729","-2598.672","-2498.555","-1709.376","-1454.073","-1263.269","-143.709","-107.187","11.586","1.561","-1376.444","-1347.785","-1125.669","-712.888","-647.239","-1183.996","-1002.302","-616.86","-963.6660000000001"
"aoci","","-0.032","","-0.657","","-0.653","-0.343","-0.323","-0.296","0.199","-1.22","-10.024","-42.956","-32.834","-34.296","-45.566","-30.49","-44.503","-46.309","-69.253","-61.359","-46.828","-36.756","-31.579","-22.325","-56.434","-63.093","-65.31100000000001","-56.665","-46.944","-115.909","-70.53400000000001","-157.997","-93","-90.087","-66.09399999999999","-96.932","-89.056","-106.794","-117.32","-155.522","-200.456"
"apic","","68.09699999999999","","101.787","","1465.733","1573.756","3944.952","4064.127","4318.021","4973.349","5208.87","5464.938","6135.566","6311.697","6507.087","6681.181","6881.778","7058.933","7224.534","7376.956","7517.433","7628.966","7750.522","7831.429","8125.889","8225.037","8324.974","8408.749","8535.463","8638.734","8763.33","8952.058999999999","9127.495000000001","9249.956","9167.138000000001","8551.763000000001","8457.717000000001","8468.708000000001","8432.111999999999","6677.294","7096.599"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.297","-5.297","-5.298","-5.291","-5.295","",""
"other_equity","","0.0010000000000048","","0.0009999999999763499","","0.0020000000000664","0.001999999999839","0.0029999999997017","0.0030000000001564","0.0030000000001564","0.0030000000001564","0.0029999999997017","0.0030000000001564","0.0030000000006112","0.0029999999997017","0.0029999999987922","0.0029999999997017","0.0029999999997017","0.0040000000008149","0.0040000000008149","0.0039999999999054","0.0039999999999054","0.0039999999999054","0.0039999999999054","0.003999999998995901","0.0040000000008149","0.0039999999999054","0.0039999999999054","0.0040000000008149","0.0040000000008149","0.003999999998995901","0.0040000000008149","0.0040000000008149","0.003999999998995901","0.0039999999999054","0.003999999998995901","0.0039999999980864","0.003999999998995901","0.0039999999999054","0.0040000000008149","0.0039999999999054","0.0039999999999054"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","","-201.838","","-248.172","","716.896","705.045","2950.006","2936.846","3046.593","3525.038","3626.403","3687.097","4231.184","4274.163","4368.047","4477.486","4556.853","4629.332","4604.935","4690.376","4728.896","4829.406","5047.218","5210.436","5570.904","6452.572","6805.594","7088.819","8344.814","8415.642","8704.386","8795.627","7658.055","7812.088","7970.082","7736.65","7716.128","7172.631","7307.199","5904.916","5932.481"
"total_liabilities_and_equity","","720.675","","831.568","","964.059","992.803","3366.24","3356.209","3584.817","5448.654","5583.082","5643.417","6230.334","6289.064","6442.439","6476.168","6616.814","6742.946","6870.365","6892.742","6963.098","7075.789","7412.477","7539.441","8861.23","9746.191999999999","10162.572","11145.231","12521.607","11600.925","12703.389","13540.725","12547.587","13088.792","13379.09","14984.075","15323.225","14589.345","14059.516","13550.957","13579.287"
"cfo_net_income","","","","","-27.026","-42.225","-64.601","-511.471","-132.362","-144.642","-175.464","-125.352","-162.442","-136.663","-131.69","-90.236","-79.73099999999999","-107.217","-102.871","-167.054","-61.559","-116.488","-21.095","91.07899999999999","60.997","100.117","789.179","255.303","190.804","1119.56","36.522","118.773","-8.396000000000001","-1378.005","28.659","222.116","68.005","65.649","-536.7569999999999","181.694","513.2859999999999","-270.007"
"cfo_da","","","","","22.73","25.917","29.023","33.224","39.951","45.631","60.155","62.428","67.864","76.04900000000001","81.464","87.446","88.621","93.283","100.878","119.39","102.792","103.063","97.492","92.52","96.846","105.982","111.947","110.723","113.474","115.616","119.986","116.473","120.649","123.837","121.983","128.708","131.052","134.812","133.448","145.536","160.283","173.288"
