"period_end_date","2010-12","2011-12","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06"
"cfo_receivables","","","","","-0.972","-10.377","-22.913","-77.798","8.861000000000001","-46.074","-40.62","-99.75","-4.159","-39.785","-61.542","-111.099","65.756","20.457","-35.022","-74.16","153.348","-20.322","22.572","-152.93","61.166","-14.198","-11.579","-166.26","103.633","-36.396","26.695","-160.932","168.932","65.349","-136.469","-285.851","189.297","-100.328","-69.139","-209.776","190.737","37.842"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","-3.724","-1.577","2.891","-9.635","-30.415","13.186","-123.481","-24.685","-2.64","-5.221","-4.823","-37.486","-12.819","-4.166","19.316","4.77","-24","22.344","6.009","-18.327","-22.892","2.59","123.536","23.236","-9.284000000000001","6.737","-18.669","-8.385999999999999","-6.252","9.209","-27.722","31.163","-80.989","36.469","-33.874","-43.107","-48.836","67.864"
"cfo_other_working_capital","","","","","-3.32","11.317","6.997","47.755","27.236","63.863","12.913","36.991","-0.324","24.047","27.218","79.901","-74.88200000000001","24.581","25.915","122.85","-94.923","8.484999999999999","4.544","60.961","-47.114","65.89700000000001","17.192","57.748","-55.319","61.692","31.738","77.191","-154.194","131.665","94.905","84.67","-7.515","119.677","953.582","-749.264","-92.158","-174.683"
"cfo_change_in_working_capital","","","","","-8.016","-0.637","-13.025","-39.678","5.682","30.975","-151.188","-87.444","-7.123","-20.959","-39.147","-68.684","-21.945","40.872","10.209","53.46","34.425","10.507","33.125","-110.296","-8.84","54.289","129.149","-85.276","39.03","32.033","39.764","-92.127","8.486000000000001","206.223","-69.286","-170.018","100.793","55.818","850.569","-1002.147","49.743","-68.977"
"cfo_deferred_tax","","","","","-0.436","-0.07199999999999999","0.016","-8.41","0.01","-7.747","-2","0.128","-1.942","-22.364","0.08599999999999999","-3.905","0.08599999999999999","-0.041","0.013","-4.833","-0.24","-0.528","-0.575","-5.072","-0.67","-41.615","-706.081","-53.354","-110.056","-1034.135","5.898","15.782","-7.024","1082.361","-6.345","-4.596","-23.873","0.856","-199.772","-5.985","190.707","-59.559"
"cfo_stock_comp","","","","","12.92","22.65","43.6","521.2","126.37","158.41","169.6","177.22","182.81","175.14","165.92","158.25","150.92","167.7","158.53","138.1","117","113.4","100.96","102.45","73.27","79.47","91.61","81.89","83.48999999999999","94.62","98.62","101.3","97.90000000000001","132.88","115.97","128.18","110.87","178.2","164.3","176.53","177.26","282.19"
"cfo_other_noncash_items","","","","","2.443","1.411","-0.40599999999999","2.2669999999999","3.032","-0.9299999999999899","12.995","16.338","13.014","18.776","25.035","16.367","24.813","19.959","22.433","57.48","11.03","79.753","30.04","27.426","21.07","22.897","28.095","22.713","34.951","11.279","34.729","16.978","35.152","33.72","23.806","25.91","3.337","-53.368","-22.808","-24.07","-965.188","-27.239"
"cf_cfo","","","","","2.615","7.044","-5.393","-2.868","42.683","81.697","-85.902","43.318","92.181","89.979","101.668","99.238","162.764","214.556","189.192","196.543","203.448","189.707","239.947","198.107","242.673","321.14","443.899","331.999","351.693","338.973","335.519","277.179","246.767","201.016","214.787","330.3","390.184","381.967","388.98","-528.442","126.091","29.696"
"cfi_ppe_net","","","","","-11.622","-15.139","-19.867","-29.116","-49.62","-44.457","-38.762","-68.791","-67.735","-92.605","-106.476","-80.464","-59.148","-39.087","-72.31699999999999","-48.105","-39.881","-44.626","-36.076","-40.159","-91.328","-193.757","-116.701","-69.078","-81.06999999999999","-134.694","-169.019","-149.747","-121.044","-162.134","-288.836","-292.17","-179.346","-276.193","-409.151","-138.394","-160.692","-153.646"
"cfi_acquisitions_net","","","","","0.178","","","","","-132.496","-30.981","","-28.927","2.627","-25.344","","","","","","","","","","","","","","","-20.302","","","-14.78","-19.505","","-13.731","-8.378","-14.559","","-9.765000000000001","","-9.379"
"cfi_investment_net","","","","","-64.577","73.598","44.337","-1228.761","174.721","-36.071","-67.015","-791.058","161.243","-724.842","52.167","22.602","30.806","-165.089","-17.672","-136.373","32.284","-39.825","120.022","-95.947","-166.314","-186.445","-911.17","-282.148","110.516","-270.2","493.026","-887.403","613.018","-397.318","-831.24","-21.775","877.167","80.271","502.227","-321.191","175.593","500.329"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","","","","-1.125","-3.787","-10.879","-39.306","-12.138","0.42200000000003","0.68699999999998","-1.7130000000001","-5.361999999999901","0.06499999999994099","0.5269999999999599","-9.897","-0.076000000000036","-80.73699999999999","-7.1160000000001","1.666","24.994","0.7650000000000401","1.097","0.82599999999999","-1.3500000000001","-33.329","1.1070000000002","-4.999999999999901","1.4566126083082E-13","11.368","-9.087","-9.361999999999899","-11.05","","","-1.7053025658242E-13","-9.085000000000001","0.69999999999993","-1.4210854715202E-13","-41.68","1050",""
"cf_cfi","","","","","-77.146","54.672","13.591","-1297.183","112.963","-212.602","-136.071","-861.562","59.219","-814.755","-79.126","-67.759","-28.418","-284.913","-97.105","-182.812","17.397","-83.68600000000001","85.04300000000001","-135.28","-258.992","-413.531","-1026.764","-356.226","29.446","-413.828","314.92","-1046.512","466.144","-578.957","-1120.076","-327.676","680.3579999999999","-209.781","93.07599999999999","-511.03","1064.901","337.304"
"cff_common_stock_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-161.552","-333.812","-169.457","-265.709","-2077.759",""
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","","-11.397","-12.844","-14.658","-16.41","-18.174","-21.203","-21.521","-21.365","1740.335","59.606","-33.546","-29.388","-28.431","-26.17","-24.917","-23.823","-25.157","-26.661","-27.084","-28.066","-25.535","-22.09","-24.247","1126.965","-22.222","-20.847","-19.719","-18.214","-950.694","686.95","990.034","-6.49","-4.117","-2.489","1436.935","","-954","","1000",""
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","","","11.397","12.844","4.739","0.959","0.114","2006.809","-14.952","34.753","-104.7","19.566","-2.425","24.507","1.073","31.382","0.838","14.219","-2.694","4.22","3.432","12.895","-1.485","9.56","-4.789","-78.057","-8.419","9.731999999999999","-9.382","22.162","-3.513","6.2349999999999","-26.05","31.588","-3.695","-223.471","-77.705","34.631","-6.1640000000002","24.01","-15.394","40.707"
"cf_cff","","","","","-9.919","-15.451","-18.06","1985.606","-36.473","13.388","1635.635","79.172","-35.971","-4.881","-27.358","5.212","-24.079","-9.603999999999999","-27.851","-22.441","-23.652","-15.171","-27.02","-12.53","-29.036","1048.908","-30.641","-11.115","-29.101","3.948","-954.207","693.1849999999999","963.984","25.098","-7.812","-225.96","1197.678","-299.181","-1129.621","-241.699","-1093.153","40.707"
"ebitda","","","-21.301","-8.776","-1.177","-12.999","-34.309","-476.452","-89.42","-104.28","-101.276","-35.725","-78.752","-54.955","-23.773","20.267","29.505","6.907","22.789","-24.237","62.514","64.70399999999999","104.771","202.618","171.771","185.606","203.815","317.631","207.132","191.302","164.131","269.357","113.206","-150.093","178.09","380.632","183.234","165.064","156.601","312.911","32.45","-170.474"
"capex","","","","","-11.622","-15.139","-19.867","-29.116","-49.62","-44.457","-38.762","-68.791","-67.735","-92.605","-106.476","-80.464","-59.148","-39.087","-72.31699999999999","-48.105","-39.881","-44.626","-36.076","-40.159","-91.328","-193.757","-116.701","-69.078","-81.06999999999999","-134.694","-169.019","-149.747","-121.044","-162.134","-288.836","-292.17","-179.346","-276.193","-409.151","-138.394","-160.692","-153.646"
"fcf","","","","","-9.007","-8.095000000000001","-25.26","-31.984","-6.937","37.24","-124.664","-25.473","24.446","-2.626","-4.808","18.774","103.616","175.469","116.875","148.438","163.567","145.081","203.871","157.948","151.345","127.383","327.198","262.921","270.623","204.279","166.5","127.432","125.723","38.882","-74.04900000000001","38.13","210.838","105.774","-20.171","-666.836","-34.601","-123.95"
"book_value","","-201.838","","-248.172","","716.896","705.045","2950.006","2936.846","3046.593","3525.038","3626.403","3687.097","4231.184","4274.163","4368.047","4477.486","4556.853","4629.332","4604.935","4690.376","4728.896","4829.406","5047.218","5210.436","5570.904","6452.572","6805.594","7088.819","8344.814","8415.642","8704.386","8795.627","7658.055","7812.088","7970.082","7736.65","7716.128","7172.631","7307.199","5904.916","5932.481"
"tangible_book_value","","-245.017","","-320.738","","538.742","521.918","2508.902","2501.918","2426.495","2787.054","2898.822","2885.081","2972.639","3003.756","3104.304","3226.679","3242.78","3332.948","3324.286","3427.298","3477.416","3586.966","3808.629","3974.71","4292.721","5179.823","5533.3","5819.936","7047.209","7125.255","7392.581","7461.429","6309.383","6464.018","6599.398","6357.471","6333.415","5832.103","5936.355","4546.729","4576.4"
"roa","","","-0.24","-0.08","-0.14","-0.21","-0.15","-0.3","-0.22","-0.25","-0.21","-0.1","-0.11","-0.1","-0.09","-0.08","-0.07000000000000001","-0.06","-0.06","-0.07000000000000001","-0.06","-0.06","-0.05","-0.01","","0.03","0.11","0.12","0.13","0.2","0.13","0.12","0.1","-0.09","-0.1","-0.09","-0.07000000000000001","0.03","-0.01","-0.02","0.02","-0.01"
"roe","","","0.86","0.28","0.46","-0.28","-0.2","-0.35","-0.26","-0.29","-0.29","-0.16","-0.17","-0.15","-0.13","-0.12","-0.1","-0.09","-0.08","-0.1","-0.09","-0.1","-0.08","-0.02","","0.04","0.17","0.18","0.19","0.31","0.19","0.17","0.14","-0.15","-0.16","-0.14","-0.13","0.05","-0.02","-0.03","0.03","-0.02"
"roic","","","0.96","0.38","0.63","-0.25","-0.18","-0.33","-0.25","-0.28","-0.24","-0.11","-0.12","-0.11","-0.1","-0.09","-0.07000000000000001","-0.07000000000000001","-0.06","-0.07000000000000001","-0.07000000000000001","-0.07000000000000001","-0.06","-0.02","","0.03","0.12","0.13","0.13","0.21","0.14","0.13","0.1","-0.1","-0.1","-0.09","-0.08","0.03","-0.01","-0.02","0.02","-0.01"
"roce","","","-0.25","-0.1","-0.15","-0.23","-0.16","-0.32","-0.24","-0.27","-0.23","-0.11","-0.11","-0.1","-0.08","-0.08","-0.06","-0.05","-0.05","-0.06","-0.05","-0.05","-0.03","0.01","0.02","0.04","0.04","0.05","0.05","0.04","0.04","0.03","0.02","-0.01","-0.01","","0.01","0.03","0.03","0.02","0.01","-0.02"
"rotce","","","-0.27","-0.11","-0.17","-0.29","-0.21","-0.38","-0.28","-0.32","-0.28","-0.12","-0.12","-0.12","-0.11","-0.1","-0.08","-0.07000000000000001","-0.06","-0.07000000000000001","-0.07000000000000001","-0.06","-0.04","0.01","0.03","0.04","0.05","0.06","0.05","0.05","0.04","0.04","0.02","-0.01","-0.01","","0.01","0.03","0.03","0.02","0.01","-0.03"
"gross_margin","","","0.59","0.67","0.64","0.64","0.63","0.54","0.66","0.68","0.66","0.71","0.67","0.67","0.65","0.6899999999999999","0.67","0.66","0.63","0.57","0.6","0.63","0.64","0.7","0.66","0.68","0.68","0.7","0.66","0.67","0.66","0.6899999999999999","0.65","0.58","0.61","0.66","0.63","0.65","0.62","0.67","0.58","0.54"
"ebitda_margin","","","-0.26","-0.08","-0.01","-0.09","-0.2","-1.96","-0.36","-0.33","-0.28","-0.07000000000000001","-0.18","-0.11","-0.04","0.03","0.05","0.01","0.04","-0.03","0.11","0.11","0.18","0.28","0.26","0.26","0.27","0.35","0.26","0.23","0.2","0.27","0.14","-0.22","0.19","0.3","0.18","0.14","0.12","0.2","0.03","-0.14"
"operating_margin","","","-0.26","-0.08","-0.21","-0.28","-0.38","-2.1","-0.52","-0.48","-0.45","-0.2","-0.34","-0.26","-0.18","-0.09","-0.1","-0.14","-0.13","-0.2","-0.07000000000000001","-0.07000000000000001","0.01","0.15","0.11","0.11","0.12","0.23","0.12","0.09","0.05","0.15","-0.01","-0.4","0.06","0.2","0.05","0.03","0.02","0.11","-0.11","-0.29"
"pretax_margin","","","-0.26","-0.09","-0.23","-0.3","-0.38","-2.12","-0.52","-0.48","-0.49","-0.25","-0.37","-0.31","-0.23","-0.12","-0.13","-0.17","-0.16","-0.23","-0.11","-0.2","-0.03","0.13","0.1","0.09","0.12","0.23","0.12","0.1","0.06","0.16","-0.02","-0.42","0.03","0.17","0.05","0.07000000000000001","-0.57","0.12","0.6899999999999999","-0.29"
"net_income_margin","","","-0.26","-0.08","-0.24","-0.3","-0.38","-2.11","-0.53","-0.46","-0.49","-0.26","-0.37","-0.27","-0.23","-0.13","-0.13","-0.18","-0.17","-0.23","-0.11","-0.2","-0.04","0.12","0.09","0.14","1.04","0.28","0.24","1.33","0.04","0.12","-0.01","-2.02","0.03","0.17","0.07000000000000001","0.06","-0.42","0.12","0.43","-0.23"
"fcf_margin","","","","","-0.08","-0.06","-0.15","-0.13","-0.03","0.12","-0.35","-0.05","0.06","-0.01","-0.01","0.03","0.17","0.29","0.19","0.21","0.3","0.25","0.35","0.22","0.23","0.18","0.43","0.29","0.34","0.24","0.2","0.13","0.16","0.06","-0.08","0.03","0.2","0.09","-0.02","-0.43","-0.03","-0.11"
"assets_to_equity","","-3.57","","-3.35","","1.34","1.41","1.14","1.14","1.18","1.55","1.54","1.53","1.47","1.47","1.47","1.45","1.45","1.46","1.49","1.47","1.47","1.47","1.47","1.45","1.59","1.51","1.49","1.57","1.5","1.38","1.46","1.54","1.64","1.68","1.68","1.94","1.99","2.03","1.92","2.29","2.29"
"equity_to_assets","","-0.28","","-0.3","","0.74","0.71","0.88","0.88","0.85","0.65","0.65","0.65","0.68","0.68","0.68","0.6899999999999999","0.6899999999999999","0.6899999999999999","0.67","0.68","0.68","0.68","0.68","0.6899999999999999","0.63","0.66","0.67","0.64","0.67","0.73","0.6899999999999999","0.65","0.61","0.6","0.6","0.52","0.5","0.49","0.52","0.44","0.44"
"debt_to_equity","","-0.1","","-0.26","","0.11","0.13","0.04","0.03","0.03","0.4","0.41","0.41","0.35","0.35","0.35","0.34","0.34","0.34","0.35","0.35","0.35","0.35","0.34","0.33","0.47","0.41","0.39","0.47","0.4","0.28","0.36","0.45","0.52","0.54","0.54","0.79","0.8100000000000001","0.73","0.73","1.09","1.1"
"debt_to_assets","","0.03","","0.08","","0.08","0.09","0.03","0.03","0.03","0.26","0.27","0.26","0.24","0.24","0.24","0.23","0.23","0.23","0.23","0.24","0.24","0.24","0.23","0.23","0.3","0.27","0.26","0.3","0.27","0.21","0.25","0.29","0.32","0.32","0.32","0.41","0.41","0.36","0.38","0.47","0.48"
"revenue_per_share","","","0.17","0.24","0.24","0.3","0.31","0.43","0.44","0.52","0.59","0.76","0.68","0.77","0.85","1.04","0.86","0.86","0.87","1","0.76","0.79","0.8","0.99","0.87","0.92","0.98","1.17","1.01","1.07","1.04","1.28","1.03","0.87","1.16","1.62","1.19","1.37","1.61","1.96","1.43","1.53"
"ebitda_per_share","","","-0.05","-0.02","","-0.03","-0.06","-0.84","-0.16","-0.18","-0.16","-0.06","-0.12","-0.08","-0.04","0.03","0.04","0.01","0.03","-0.03","0.09","0.09","0.14","0.27","0.22","0.24","0.26","0.41","0.27","0.24","0.21","0.34","0.15","-0.19","0.22","0.48","0.21","0.19","0.2","0.39","0.04","-0.22"
"operating_income_per_share","","","-0.05","-0.02","-0.05","-0.08","-0.12","-0.89","-0.23","-0.25","-0.26","-0.16","-0.23","-0.2","-0.16","-0.1","-0.09","-0.12","-0.11","-0.2","-0.06","-0.05","0.01","0.15","0.1","0.1","0.12","0.27","0.12","0.1","0.06","0.19","-0.01","-0.35","0.07000000000000001","0.32","0.06","0.03","0.03","0.21","-0.15","-0.45"
"pretax_income_per_share","","","-0.04","-0.02","-0.06","-0.09","-0.12","-0.9","-0.23","-0.25","-0.29","-0.19","-0.25","-0.24","-0.19","-0.13","-0.11","-0.15","-0.14","-0.23","-0.08","-0.15","-0.02","0.13","0.08","0.09","0.11","0.27","0.12","0.11","0.06","0.2","-0.02","-0.37","0.04","0.28","0.06","0.09","-0.91","0.23","0.99","-0.44"
"fcf_per_share","","","","","-0.02","-0.02","-0.05","-0.06","-0.01","0.06","-0.2","-0.04","0.04","","-0.01","0.03","0.15","0.25","0.17","0.21","0.23","0.2","0.28","0.21","0.2","0.16","0.42","0.34","0.35","0.26","0.21","0.16","0.16","0.05","-0.09","0.05","0.24","0.12","-0.03","-0.83","-0.04","-0.16"
"book_value_per_share","","-1.97","","-0.53","","1.52","1.29","5.18","5.15","5.12","5.74","5.76","5.76","6.45","6.37","6.4","6.47","6.53","6.57","6.45","6.5","6.48","6.56","6.8","6.8","7.21","8.32","8.77","9.119999999999999","10.63","10.65","11.04","11.27","9.74","9.69","10.04","8.869999999999999","8.880000000000001","8.99","9.130000000000001","7.04","7.74"
"tangible_book_per_share","","-2.39","","-0.68","","1.14","0.96","4.4","4.39","4.07","4.54","4.6","4.5","4.53","4.48","4.55","4.67","4.64","4.73","4.65","4.75","4.76","4.87","5.13","5.19","5.56","6.68","7.13","7.48","8.98","9.01","9.369999999999999","9.56","8.029999999999999","8.02","8.31","7.29","7.29","7.31","7.42","5.42","5.97"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","","","0.36","","","1.05","1.16","1.19","1.24","1.14","0.97","0.74","0.61","0.58","0.48","0.36","0.2","0.08","0.01","-0.08","-0.05","-0.04","0.02","0.21","0.24","0.29","0.24","0.18","0.18","0.09","0.11","0.03","-0.19","0.14","0.28","0.28","0.74","0.37","0.22","0.16","-0.01"
"gross_profit_growth","","","","0.55","","","1.19","0.73","1.26","1.39","1.23","1.63","0.77","0.58","0.5600000000000001","0.44","0.35","0.19","0.06","-0.16","-0.17","-0.1","-0.03","0.25","0.35","0.33","0.36","0.25","0.18","0.17","0.05","0.08","","-0.3","0.06","0.23","0.25","0.96","0.39","0.23","0.06","-0.18"
"ebitda_growth","","","","0.59","","","-0.61","-53.29","-74.97","-7.02","-1.95","0.93","0.12","0.47","0.77","1.57","1.37","1.13","1.96","-2.2","1.12","8.369999999999999","3.6","9.359999999999999","1.75","1.87","0.95","0.57","0.21","0.03","-0.19","-0.15","-0.45","-1.78","0.09","0.41","0.62","2.1","-0.12","-0.18","-0.82","-2.03"
"operating_income_growth","","","","0.59","","","-1.97","-57.08","-4.41","-2.85","-1.55","0.8100000000000001","-0.13","0.13","0.35","0.32","0.6","0.34","0.26","-1.14","0.32","0.5600000000000001","1.09","1.77","2.86","3.08","11.62","0.88","0.25","-0.05","-0.52","-0.26","-1.08","-4.62","0.27","0.65","8.01","1.11","-0.59","-0.34","-3.45","-12.36"
"pretax_income_growth","","","","0.52","","","-2.04","-49.8","-3.92","-2.62","-1.73","0.76","-0.23","-0.04","0.27","0.29","0.52","0.33","0.25","-0.87","0.25","-0.08","0.82","1.58","2.09","1.58","5.98","1.21","0.51","0.33","-0.45","-0.23","-1.16","-4.29","-0.38","0.42","4.22","1.28","-25.49","-0.18","15.57","-5.13"
"net_income_growth","","","","0.6","","","-1.99","-57.76","-3.9","-2.43","-1.72","0.75","-0.23","0.06","0.25","0.28","0.51","0.22","0.22","-0.85","0.23","-0.09","0.79","1.55","1.99","1.86","38.41","1.8","2.13","10.18","-0.95","-0.53","-1.04","-2.23","-0.22","0.87","9.1","1.05","-19.73","-0.18","6.55","-5.11"
"eps_diluted_growth","","","","0.61","","","-1.59","-77.33","-3.04","-1.67","-1.44","0.86","-0.09","0.13","0.31","0.35","0.52","0.29","0.25","-0.77","0.25","-0.07000000000000001","0.8","1.52","1.89","1.81","35","1.75","2.13","10","-0.95","-0.55","-1.04","-2.22","-0.2","0.8","9","1.05","-17.75","-0.22","6.63","-5.38"
"shares_diluted_growth","","-0.77","3.59","","0.05","3.59","0.16","0.21","0.21","0.26","0.13","0.11","0.12","0.1","0.09","0.08","0.08","0.06","0.05","0.05","0.04","0.05","0.05","0.04","0.06","0.06","0.05","0.05","0.02","0.02","0.02","0.02","","","0.02","0.01","0.12","0.11","-0.01","0.01","-0.04","-0.12"
"cash_and_equiv_growth","","","-1","","","-0.25","","3.14","","4.14","13.47","0.8","0.67","0.05","-0.61","-0.4","-0.36","0.07000000000000001","0.15","0.08","0.16","0.36","0.57","0.66","0.34","0.98","0.22","0.16","0.4","-0.14","-0.03","-0.05","0.54","0.43","0.18","0.11","0.23","0.33","0.58","0.1","-0.46","-0.35"
"ppe_growth","","","-1","","","2.91","","0.79","","0.93","0.77","0.67","0.5600000000000001","0.39","0.39","0.32","0.25","0.17","0.15","0.07000000000000001","0.05","0.03","-0.06","-0.01","0.02","0.17","0.2","0.14","1.02","0.83","0.83","0.95","0.08","0.06","0.34","0.4","0.5","0.7","0.43","0.35","0.31","0.17"
"total_assets_growth","","","-1","","","0.34","","3.05","","2.72","4.49","0.66","0.68","0.74","0.15","0.15","0.15","0.06","0.07000000000000001","0.07000000000000001","0.06","0.05","0.05","0.08","0.09","0.27","0.38","0.37","0.48","0.41","0.19","0.25","0.21","","0.13","0.05","0.11","0.22","0.11","0.05","-0.1","-0.11"
"total_equity_growth","","","1","","","4.55","","12.89","","3.25","4","0.23","0.26","0.39","0.21","0.2","0.21","0.08","0.08","0.05","0.05","0.04","0.04","0.1","0.11","0.18","0.34","0.35","0.36","0.5","0.3","0.28","0.24","-0.08","-0.07000000000000001","-0.08","-0.12","0.01","-0.08","-0.08","-0.24","-0.23"
"cfo_growth","","","","","","","","","15.32","10.6","-14.93","16.1","1.16","0.1","2.18","1.29","0.77","1.38","0.86","0.98","0.25","-0.12","0.27","0.01","0.19","0.6899999999999999","0.85","0.68","0.45","0.06","-0.24","-0.17","-0.3","-0.41","-0.36","0.19","0.58","0.9","0.8100000000000001","-2.6","-0.68","-0.92"
"capex_growth","","","","","","","","","-3.27","-1.94","-0.95","-1.36","-0.37","-1.08","-1.75","-0.17","0.13","0.58","0.32","0.4","0.33","-0.14","0.5","0.17","-1.29","-3.34","-2.23","-0.72","0.11","0.3","-0.45","-1.17","-0.49","-0.2","-0.71","-0.95","-0.48","-0.7","-0.42","0.53","0.1","0.44"
"fcf_growth","","","","","","","","","0.23","5.6","-3.94","0.2","4.52","-1.07","0.96","1.74","3.24","67.81999999999999","25.31","6.91","0.58","-0.17","0.74","0.06","-0.07000000000000001","-0.12","0.6","0.66","0.79","0.6","-0.49","-0.52","-0.54","-0.8100000000000001","-1.44","-0.7","0.68","1.72","0.73","-18.49","-1.16","-2.17"
"shares_eop","449.9","102.544","471.052","471.052","471.052","544.697","544.697","569.922","589.298","612.682","632.158","642.385","653.141","674.379","681.409","694.1319999999999","700.203","706.3","713.721","721.572","729.745","736.47","741.907","746.902","752.037","756.956","760.403","764.2569999999999","767.913","772.393","775.718","779.619","784.1","790.426","794.447","796","798.083","797.941","799.525","799.384","763.578","770.978"
"dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","","","","","","-56.21","-36.64","-29.42","-33.83","-39.88","-53.81","-40.72","-33.01","-30.83","-26.44","-29.21","-43.29","-25.74","-24.87","-29.38","-34.18","-165.95","1505.32","143.04","20.78","18.22","18.91","11.45","19.95","17.05","15.21","-19.13","-28.53","-37.96","-47.94","142.83","-266.78","-156.04","131.96","-257.88"
"price_to_book","","","","","","","","12.3","9.359999999999999","8.24","9.25","6.35","8.869999999999999","5.77","4.29","3.68","2.59","2.62","3.55","2.55","2.33","2.78","2.59","3.55","4.19","5.93","3.35","3.23","3.56","3.23","3.8","2.87","2.19","3.07","4.53","5.41","6.56","7.12","6.73","4.73","5","4.86"
"price_to_sales","","","","","","","","54.56","34.33","25.77","27.95","16.42","20.59","13.73","9.24","7.24","4.88","4.82","6.52","4.65","4.39","5.36","5.15","7.34","8.52","12.26","7.55","7.22","7.98","8.18","9.51","7.22","5.53","7.09","10.29","11.6","12.87","12.33","10.06","6.8","5.64","5.51"
"price_to_tangible_book","","","","","","","","14.46","10.99","10.34","11.7","7.95","11.34","8.220000000000001","6.11","5.17","3.59","3.68","4.94","3.54","3.18","3.78","3.49","4.71","5.49","7.7","4.18","3.97","4.34","3.83","4.49","3.38","2.58","3.73","5.47","6.53","7.99","8.67","8.279999999999999","5.82","6.5","6.3"
"price_to_fcf","","","","","","","","-487.93","-380.52","-931.72","-258.08","-192.29","-369.8","-190.36","-2169.62","448.84","100.81","40.76","39.67","21.6","18.05","22.93","18.94","26.75","33.14","51.61","28.33","25.28","25.55","25.31","35.34","32.5","30.86","51.35","162.18","334.95","237.52","195.61","144.31","-93.28","-47.97","-34.09"
"market_cap","","","","","","","","36275.5353","27502.53766","25101.58154","32606.70964","23042.34995","32709.30128","24426.00738","18357.15846","16062.21448","11588.35965","11943.533","16451.26905","11761.6236","10909.68775","13160.7189","12515.97109","17933.11702","21816.59337","33056.26852","21641.06938","21964.74618","25248.97944","26956.5157","31959.5816","24986.78895","19257.496","23546.79054","35352.8915","43103.4","50782.02129","54906.32021","48283.31475","34549.37648","29542.83282","28826.86742"
"period_end_price","","","","","","","","63.65","46.67","40.97","51.58","35.87","50.08","36.22","26.94","23.14","16.55","16.91","23.05","16.3","14.95","17.87","16.87","24.01","29.01","43.67","28.46","28.74","32.88","34.9","41.2","32.05","24.56","29.79","44.5","54.15","63.63","68.81","60.39","43.22","38.69","37.39"
